dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.380132,3.249048,0.000138,0.013834,0.691706,34.585295,6.250485
0.020000,1.380110,3.249049,0.000161,0.001135,-0.634953,-66.332956,6.250549
0.020000,1.380064,3.249050,0.000206,0.002269,0.056693,34.582329,6.250676
0.020000,1.379996,3.249052,0.000274,0.003400,0.056575,-0.005931,6.250867
0.020000,1.380602,3.249033,0.000880,0.030273,1.343605,64.351514,6.251122
0.020000,1.383254,3.248948,0.003534,0.132690,5.120853,188.862384,6.251440
0.020000,1.386437,3.248848,0.006718,0.159241,1.327553,-189.664972,6.251821
0.020000,1.390151,3.248732,0.010434,0.185799,1.327913,0.018002,6.252264
0.020000,1.394397,3.248602,0.014682,0.212365,1.328323,0.020505,6.252769
0.020000,1.399173,3.248458,0.019461,0.238941,1.328796,0.023621,6.253335
0.020000,1.404482,3.248301,0.024771,0.265528,1.329331,0.026769,6.253963
0.020000,1.410322,3.248132,0.030614,0.292127,1.329930,0.029953,6.254650
0.020000,1.416694,3.247953,0.036988,0.318738,1.330594,0.033175,6.255397
0.020000,1.423599,3.247764,0.043896,0.345365,1.331306,0.035590,6.256203
0.020000,1.431036,3.247566,0.051336,0.372006,1.332068,0.038119,6.257066
0.020000,1.439007,3.247361,0.059309,0.398664,1.332916,0.042379,6.257986
0.020000,1.447511,3.247151,0.067816,0.425341,1.333816,0.045036,6.258962
0.020000,1.456549,3.246937,0.076857,0.452036,1.334763,0.047314,6.259993
0.020000,1.466122,3.246720,0.086432,0.478751,1.335772,0.050497,6.261077
0.020000,1.476229,3.246502,0.096541,0.505488,1.336847,0.053738,6.262213
0.020000,1.486872,3.246285,0.107186,0.532248,1.337988,0.057036,6.263401
0.020000,1.498051,3.246071,0.118367,0.559032,1.339196,0.060391,6.264638
0.020000,1.509765,3.245861,0.130084,0.585841,1.340445,0.062446,6.265924
0.020000,1.522017,3.245658,0.142337,0.612676,1.341746,0.065053,6.267257
0.020000,1.534807,3.245463,0.155128,0.639538,1.343136,0.069518,6.268635
0.020000,1.548134,3.245279,0.168457,0.666430,1.344582,0.072303,6.270056
0.020000,1.562000,3.245107,0.182324,0.693351,1.346065,0.074145,6.271520
0.020000,1.576405,3.244950,0.196730,0.720304,1.347613,0.077410,6.273024
0.020000,1.591350,3.244809,0.211676,0.747288,1.349228,0.080738,6.274566
0.020000,1.606836,3.244688,0.227162,0.774306,1.350910,0.084123,6.276145
0.020000,1.622863,3.244588,0.243189,0.801360,1.352662,0.087557,6.277758
0.020000,1.639431,3.244512,0.259758,0.828448,1.354443,0.089073,6.279404
0.020000,1.656543,3.244462,0.276869,0.855574,1.356280,0.091833,6.281081
0.020000,1.674198,3.244440,0.294524,0.882738,1.358207,0.096342,6.282786
0.020000,1.692396,3.244448,0.312723,0.909942,1.360191,0.099244,0.001332
0.020000,1.711140,3.244490,0.331467,0.937186,1.362202,0.100516,0.003087
0.020000,1.730429,3.244566,0.350756,0.964472,1.364278,0.103804,0.004863
0.020000,1.750265,3.244681,0.370592,0.991800,1.366421,0.107137,0.006659
0.020000,1.770648,3.244835,0.390976,1.019173,1.368631,0.110502,0.008471
0.020000,1.791579,3.245031,0.411907,1.046591,1.370908,0.113888,0.010297
0.020000,1.813059,3.245272,0.433388,1.074055,1.373209,0.115039,0.012135
0.020000,1.835088,3.245560,0.455420,1.101566,1.375555,0.117308,0.013981
0.020000,1.857668,3.245897,0.478002,1.129126,1.378006,0.122537,0.015834
0.020000,1.880800,3.246285,0.501137,1.156736,1.380502,0.124772,0.017690
0.020000,1.904483,3.246726,0.524825,1.184397,1.383016,0.125730,0.019546
0.020000,1.928720,3.247222,0.549067,1.212108,1.385595,0.128958,0.021400
0.020000,1.953512,3.247776,0.573865,1.239873,1.388239,0.132195,0.023248
0.020000,1.978858,3.248389,0.599218,1.267692,1.390948,0.135427,0.025088
0.020000,2.004761,3.249062,0.625130,1.295567,1.393721,0.138638,0.026917
0.020000,2.031220,3.249799,0.651600,1.323497,1.396526,0.140250,0.028730
0.020000,2.058238,3.250600,0.678629,1.351484,1.399328,0.140112,0.030526
0.020000,2.085815,3.251466,0.706220,1.379530,1.402297,0.148443,0.032301
0.020000,2.113952,3.252400,0.734373,1.407635,1.405256,0.147972,0.034050
0.020000,2.142651,3.253403,0.763089,1.435799,1.408233,0.148858,0.035772
0.020000,2.171912,3.254475,0.792369,1.464026,1.411312,0.153956,0.037463
0.020000,2.201736,3.255618,0.822215,1.492314,1.414440,0.156393,0.039119
0.020000,2.232125,3.256832,0.852629,1.520666,1.417579,0.156951,0.040736
0.020000,2.263080,3.258118,0.883610,1.549083,1.420836,0.162838,0.042311
0.020000,2.294602,3.259477,0.915162,1.577565,1.424134,0.164894,0.043841
0.020000,2.326693,3.260909,0.947284,1.606113,1.427363,0.161459,0.045320
0.020000,2.359352,3.262414,0.979979,1.634729,1.430839,0.173815,0.046747
0.020000,2.392583,3.263991,1.013247,1.663414,1.434218,0.168938,0.048117
0.020000,2.426386,3.265641,1.047090,1.692168,1.437690,0.173607,0.049425
0.020000,2.460763,3.267363,1.081510,1.720993,1.441251,0.178053,0.050668
0.020000,2.495715,3.269157,1.116508,1.749889,1.444837,0.179298,0.051842
0.020000,2.531243,3.271020,1.152085,1.778859,1.448478,0.182032,0.052943
0.020000,2.567350,3.272952,1.188243,1.807902,1.452149,0.183556,0.053967
0.020000,2.604036,3.274952,1.224984,1.837021,1.455949,0.189996,0.054909
0.020000,2.641303,3.277016,1.262308,1.866216,1.459737,0.189428,0.055766
0.020000,2.679153,3.279144,1.300218,1.895488,1.463623,0.194255,0.056532
0.020000,2.717587,3.281333,1.338714,1.924839,1.467529,0.195326,0.057203
0.020000,2.756608,3.283579,1.377800,1.954270,1.471545,0.200817,0.057775
0.020000,2.796217,3.285879,1.417475,1.983781,1.475594,0.202451,0.058244
0.020000,2.836416,3.288231,1.457743,2.013376,1.479713,0.205916,0.058604
0.020000,2.877206,3.290630,1.498604,2.043054,1.483899,0.209304,0.058851
0.020000,2.918591,3.293071,1.540060,2.072817,1.488151,0.212589,0.058981
0.020000,2.960571,3.295551,1.582114,2.102666,1.492472,0.216079,0.058988
0.020000,3.003149,3.298063,1.624766,2.132603,1.496865,0.219655,0.058867
0.020000,3.046327,3.300603,1.668018,2.162630,1.501340,0.223740,0.058613
0.020000,3.090107,3.303164,1.711873,2.192748,1.505873,0.226623,0.058222
0.020000,3.134492,3.305739,1.756332,2.222958,1.510492,0.230983,0.057688
0.020000,3.179483,3.308323,1.801398,2.253261,1.515194,0.235080,0.057005
0.020000,3.225083,3.310906,1.847071,2.283661,1.519975,0.239080,0.056169
0.020000,3.271294,3.313482,1.893354,2.314158,1.524835,0.242980,0.055174
0.020000,3.318119,3.316042,1.940249,2.344753,1.529771,0.246784,0.054014
0.020000,3.365561,3.318576,1.987758,2.375449,1.534801,0.251534,0.052684
0.020000,3.413621,3.321074,2.035883,2.406248,1.539949,0.257382,0.051178
0.020000,3.462302,3.323528,2.084626,2.437150,1.545116,0.258372,0.049490
0.020000,3.511607,3.325924,2.133989,2.468159,1.550409,0.264637,0.047614
0.020000,3.561538,3.328252,2.183975,2.499275,1.555844,0.271751,0.045544
0.020000,3.612098,3.330500,2.234585,2.530501,1.561273,0.271465,0.043274
0.020000,3.663290,3.332653,2.285821,2.561838,1.566832,0.277926,0.040798
0.020000,3.715115,3.334700,2.337687,2.593288,1.572503,0.283542,0.038109
0.020000,3.767577,3.336625,2.390184,2.624852,1.578239,0.286794,0.035200
