dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.368506,2.893638,0.000138,0.013834,0.691706,34.585295,6.250485
0.020000,1.368506,2.893638,0.000692,0.041502,1.383412,34.585295,6.250549
0.020000,1.368506,2.893638,0.001798,0.069171,1.383412,0.000000,6.250676
0.020000,1.368506,2.893638,0.003459,0.096839,1.383412,-0.000000,6.250867
0.020000,1.369202,2.893616,0.005672,0.124507,1.383412,0.000000,6.251122
0.020000,1.371967,2.893527,0.008439,0.152175,1.383412,0.000000,6.251440
0.020000,1.375286,2.893423,0.011759,0.179844,1.383412,0.000000,6.251821
0.020000,1.379157,2.893302,0.015633,0.207512,1.383412,-0.000000,6.252264
0.020000,1.383582,2.893166,0.020059,0.235180,1.383412,0.000000,6.252769
0.020000,1.388560,2.893016,0.025040,0.262848,1.383412,0.000000,6.253335
0.020000,1.394092,2.892853,0.030573,0.290516,1.383412,0.000000,6.253963
0.020000,1.400176,2.892677,0.036660,0.318185,1.383412,0.000000,6.254650
0.020000,1.406814,2.892490,0.043301,0.345853,1.383412,-0.000000,6.255397
0.020000,1.414005,2.892293,0.050495,0.373521,1.383412,0.000000,6.256203
0.020000,1.421749,2.892087,0.058242,0.401189,1.383412,0.000000,6.257066
0.020000,1.430047,2.891874,0.066542,0.428858,1.383412,0.000000,6.257986
0.020000,1.438898,2.891656,0.075396,0.456526,1.383412,0.000000,6.258962
0.020000,1.448303,2.891433,0.084803,0.484194,1.383412,-0.000000,6.259993
0.020000,1.458261,2.891207,0.094764,0.511862,1.383412,0.000000,6.261077
0.020000,1.468772,2.890981,0.105278,0.539531,1.383412,-0.000000,6.262213
0.020000,1.479837,2.890755,0.116345,0.567199,1.383412,0.000000,6.263401
0.020000,1.491456,2.890532,0.127966,0.594867,1.383412,-0.000000,6.264638
0.020000,1.503628,2.890314,0.140140,0.622535,1.383412,0.000000,6.265924
0.020000,1.516353,2.890103,0.152867,0.650204,1.383412,0.000000,6.267257
0.020000,1.529633,2.889901,0.166148,0.677872,1.383412,-0.000000,6.268635
0.020000,1.543465,2.889709,0.179982,0.705540,1.383412,0.000000,6.270056
0.020000,1.557852,2.889531,0.194369,0.733208,1.383412,0.000000,6.271520
0.020000,1.572792,2.889368,0.209310,0.760876,1.383412,0.000000,6.273024
0.020000,1.588285,2.889223,0.224804,0.788545,1.383412,-0.000000,6.274566
0.020000,1.604332,2.889097,0.240852,0.816213,1.383412,0.000000,6.276145
0.020000,1.620933,2.888993,0.257453,0.843881,1.383412,-0.000000,6.277758
0.020000,1.638087,2.888915,0.274607,0.871549,1.383412,0.000000,6.279404
0.020000,1.655795,2.888862,0.292315,0.899218,1.383412,-0.000000,6.281081
0.020000,1.674056,2.888840,0.310576,0.926886,1.383412,0.000000,6.282786
0.020000,1.692870,2.888848,0.329390,0.954554,1.383412,0.000000,0.001332
0.020000,1.712238,2.888891,0.348758,0.982222,1.383412,-0.000000,0.003087
0.020000,1.732159,2.888971,0.368679,1.009891,1.383412,0.000000,0.004863
0.020000,1.752633,2.889089,0.389154,1.037559,1.383412,-0.000000,0.006659
0.020000,1.773660,2.889248,0.410182,1.065227,1.383412,0.000000,0.008471
0.020000,1.795240,2.889450,0.431763,1.092895,1.383412,-0.000000,0.010297
0.020000,1.817374,2.889699,0.453897,1.120564,1.383412,0.000000,0.012135
0.020000,1.840060,2.889995,0.476585,1.148232,1.383412,-0.000000,0.013981
0.020000,1.863298,2.890341,0.499827,1.175900,1.383412,0.000000,0.015834
0.020000,1.887090,2.890740,0.523621,1.203568,1.383412,0.000000,0.017690
0.020000,1.911433,2.891194,0.547969,1.231237,1.383412,0.000000,0.019546
0.020000,1.936330,2.891704,0.572871,1.258905,1.383412,-0.000000,0.021400
0.020000,1.961778,2.892272,0.598326,1.286573,1.383412,0.000000,0.023248
0.020000,1.987779,2.892900,0.624334,1.314241,1.383412,-0.000000,0.025088
0.020000,2.014331,2.893591,0.650895,1.341909,1.383412,0.000000,0.026917
0.020000,2.041436,2.894346,0.678010,1.369578,1.383412,0.000000,0.028730
0.020000,2.069092,2.895165,0.705678,1.397246,1.383412,-0.000000,0.030526
0.020000,2.097299,2.896052,0.733900,1.424914,1.383412,0.000000,0.032301
0.020000,2.126058,2.897007,0.762675,1.452582,1.383412,-0.000000,0.034050
0.020000,2.155369,2.898030,0.792003,1.480251,1.383412,0.000000,0.035772
0.020000,2.185231,2.899124,0.821885,1.507919,1.383412,-0.000000,0.037463
0.020000,2.215643,2.900290,0.852320,1.535587,1.383412,0.000000,0.039119
0.020000,2.246607,2.901527,0.883308,1.563255,1.383412,-0.000000,0.040736
0.020000,2.278122,2.902836,0.914850,1.590924,1.383412,0.000000,0.042311
0.020000,2.310187,2.904219,0.946945,1.618592,1.383412,0.000000,0.043841
0.020000,2.342803,2.905674,0.979594,1.646260,1.383412,0.000000,0.045320
0.020000,2.375970,2.907202,1.012796,1.673928,1.383412,-0.000000,0.046747
0.020000,2.409687,2.908803,1.046551,1.701597,1.383412,0.000000,0.048117
0.020000,2.443955,2.910476,1.080860,1.729265,1.383412,-0.000000,0.049425
0.020000,2.478773,2.912220,1.115722,1.756933,1.383412,0.000000,0.050668
0.020000,2.514142,2.914034,1.151137,1.784601,1.383412,0.000000,0.051842
0.020000,2.550061,2.915918,1.187106,1.812269,1.383412,0.000000,0.052943
0.020000,2.586531,2.917870,1.223628,1.839938,1.383412,-0.000000,0.053967
0.020000,2.623552,2.919888,1.260703,1.867606,1.383412,-0.000000,0.054909
0.020000,2.661123,2.921969,1.298332,1.895274,1.383412,0.000000,0.055766
0.020000,2.699245,2.924112,1.336514,1.922942,1.383412,0.000000,0.056532
0.020000,2.737918,2.926314,1.375250,1.950611,1.383412,-0.000000,0.057203
0.020000,2.777142,2.928572,1.414539,1.978279,1.383412,0.000000,0.057775
0.020000,2.816917,2.930882,1.454381,2.005947,1.383412,-0.000000,0.058244
0.020000,2.857244,2.933241,1.494776,2.033615,1.383412,0.000000,0.058604
0.020000,2.898122,2.935645,1.535725,2.061284,1.383412,-0.000000,0.058851
0.020000,2.939552,2.938089,1.577228,2.088952,1.383412,0.000000,0.058981
0.020000,2.981535,2.940569,1.619284,2.116620,1.383412,0.000000,0.058988
0.020000,3.024070,2.943079,1.661893,2.144288,1.383412,-0.000000,0.058867
0.020000,3.067158,2.945613,1.705055,2.171957,1.383412,0.000000,0.058613
0.020000,3.110799,2.948166,1.748771,2.199625,1.383412,0.000000,0.058222
0.020000,3.154994,2.950731,1.793040,2.227293,1.383412,0.000000,0.057688
0.020000,3.199743,2.953300,1.837863,2.254961,1.383412,0.000000,0.057005
0.020000,3.245046,2.955867,1.883238,2.282629,1.383412,0.000000,0.056169
0.020000,3.290904,2.958423,1.929168,2.310298,1.383412,0.000000,0.055174
0.020000,3.337317,2.960960,1.975650,2.337966,1.383412,0.000000,0.054014
0.020000,3.384286,2.963469,2.022686,2.365634,1.383412,-0.000000,0.052684
0.020000,3.431812,2.965940,2.070276,2.393302,1.383412,0.000000,0.051178
0.020000,3.479893,2.968363,2.118418,2.420971,1.383412,0.000000,0.049490
0.020000,3.528532,2.970727,2.167115,2.448639,1.383412,-0.000000,0.047614
0.020000,3.577728,2.973021,2.216364,2.476307,1.383412,-0.000000,0.045544
0.020000,3.627482,2.975232,2.266167,2.503975,1.383412,0.000000,0.043274
0.020000,3.677793,2.977349,2.316523,2.531644,1.383412,0.000000,0.040798
0.020000,3.728663,2.979358,2.367433,2.559312,1.383412,-0.000000,0.038109
0.020000,3.780092,2.981245,2.418896,2.586980,1.383412,0.000000,0.035200
0.020000,3.832078,2.982995,2.470912,2.614648,1.383412,0.000000,0.032067
0.020000,3.884624,2.984593,2.523481,2.642317,1.383412,0.000000,0.028700
0.020000,3.937727,2.986022,2.576604,2.669985,1.383412,-0.000000,0.025095
0.020000,3.991389,2.987267,2.630281,2.697653,1.383412,0.000000,0.021244
0.020000,4.045609,2.988309,2.684511,2.725321,1.383412,0.000000,0.017141
0.020000,4.100386,2.989129,2.739294,2.752989,1.383412,0.000000,0.012777
0.020000,4.155719,2.989709,2.794630,2.780658,1.383412,0.000000,0.008148
