dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.356880,2.538228,0.000138,0.013834,0.691706,34.585295,6.250485
0.020000,1.356903,2.538227,0.000161,0.001135,-0.634953,-66.332956,6.250549
0.020000,1.356948,2.538226,0.000206,0.002269,0.056693,34.582329,6.250676
0.020000,1.357016,2.538224,0.000274,0.003400,0.056575,-0.005931,6.250867
0.020000,1.357802,2.538198,0.001061,0.039329,1.796440,86.993250,6.251122
0.020000,1.360680,2.538106,0.003941,0.143993,5.233170,171.836523,6.251440
0.020000,1.364134,2.537997,0.007396,0.172778,1.439276,-189.694716,6.251821
0.020000,1.368164,2.537872,0.011428,0.201557,1.438922,-0.017675,6.252264
0.020000,1.372768,2.537731,0.016034,0.230327,1.438499,-0.021172,6.252769
0.020000,1.377947,2.537575,0.021216,0.259087,1.438019,-0.024010,6.253335
0.020000,1.383701,2.537405,0.026973,0.287837,1.437482,-0.026818,6.253963
0.020000,1.390030,2.537222,0.033304,0.316574,1.436891,-0.029593,6.254650
0.020000,1.396934,2.537027,0.040210,0.345299,1.436244,-0.032333,6.255397
0.020000,1.404411,2.536822,0.047690,0.374010,1.435525,-0.035953,6.256203
0.020000,1.412462,2.536609,0.055744,0.402704,1.434736,-0.039455,6.257066
0.020000,1.421087,2.536387,0.064372,0.431383,1.433914,-0.041088,6.257986
0.020000,1.430285,2.536160,0.073573,0.460043,1.433025,-0.044464,6.258962
0.020000,1.440056,2.535928,0.083347,0.488684,1.432060,-0.048252,6.259993
0.020000,1.450399,2.535694,0.093693,0.517305,1.431038,-0.051064,6.261077
0.020000,1.461315,2.535459,0.104611,0.545904,1.429962,-0.053817,6.262213
0.020000,1.472802,2.535225,0.116100,0.574481,1.428832,-0.056510,6.263401
0.020000,1.484861,2.534994,0.128161,0.603034,1.427649,-0.059144,6.264638
0.020000,1.497490,2.534767,0.140792,0.631562,1.426385,-0.063178,6.265924
0.020000,1.510689,2.534548,0.153994,0.660063,1.425053,-0.066612,6.267257
0.020000,1.524459,2.534339,0.167764,0.688537,1.423692,-0.068040,6.268635
0.020000,1.538797,2.534140,0.182104,0.716982,1.422267,-0.071275,6.270056
0.020000,1.553704,2.533955,0.197012,0.745397,1.420757,-0.075513,6.271520
0.020000,1.569178,2.533786,0.212487,0.773781,1.419192,-0.078208,6.273024
0.020000,1.585220,2.533636,0.228530,0.802133,1.417576,-0.080823,6.274566
0.020000,1.601829,2.533506,0.245139,0.830451,1.415909,-0.083364,6.276145
0.020000,1.619003,2.533399,0.262314,0.858735,1.414192,-0.085836,6.277758
0.020000,1.636743,2.533317,0.280053,0.886982,1.412385,-0.090343,6.279404
0.020000,1.655046,2.533263,0.298357,0.915193,1.410515,-0.093492,6.281081
0.020000,1.673914,2.533240,0.317225,0.943365,1.408620,-0.094745,6.282786
0.020000,1.693344,2.533249,0.336655,0.971498,1.406666,-0.097694,0.001332
0.020000,1.713335,2.533293,0.356646,0.999591,1.404619,-0.102352,0.003087
0.020000,1.733888,2.533375,0.377199,1.027641,1.402523,-0.104823,0.004863
0.020000,1.755001,2.533496,0.398312,1.055649,1.400379,-0.107214,0.006659
0.020000,1.776672,2.533660,0.419984,1.083612,1.398188,-0.109538,0.008471
0.020000,1.798902,2.533869,0.442215,1.111532,1.395952,-0.111806,0.010297
0.020000,1.821689,2.534125,0.465003,1.139404,1.393624,-0.116408,0.012135
0.020000,1.845031,2.534430,0.488348,1.167229,1.391228,-0.119778,0.013981
0.020000,1.868929,2.534786,0.512248,1.195005,1.388829,-0.119971,0.015834
0.020000,1.893380,2.535196,0.536702,1.222732,1.386363,-0.123303,0.017690
0.020000,1.918384,2.535662,0.561711,1.250408,1.383804,-0.127936,0.019546
0.020000,1.943939,2.536185,0.587271,1.278032,1.381201,-0.130126,0.021400
0.020000,1.970044,2.536768,0.613383,1.305604,1.378556,-0.132268,0.023248
0.020000,1.996699,2.537412,0.640046,1.333121,1.375868,-0.134381,0.025088
0.020000,2.023902,2.538120,0.667257,1.360584,1.373139,-0.136482,0.026917
0.020000,2.051651,2.538892,0.695017,1.387990,1.370334,-0.140227,0.028730
0.020000,2.079945,2.539731,0.723324,1.415339,1.367419,-0.145764,0.030526
0.020000,2.108783,2.540637,0.752177,1.442630,1.364571,-0.142400,0.032301
0.020000,2.138164,2.541613,0.781574,1.469862,1.361606,-0.148237,0.034050
0.020000,2.168087,2.542658,0.811515,1.497033,1.358554,-0.152615,0.035772
0.020000,2.198549,2.543774,0.841997,1.524143,1.355502,-0.152582,0.037463
0.020000,2.229550,2.544962,0.873021,1.551191,1.352396,-0.155321,0.039119
0.020000,2.261089,2.546222,0.904585,1.578175,1.349196,-0.160002,0.040736
0.020000,2.293163,2.547555,0.936687,1.605096,1.346013,-0.159150,0.042311
0.020000,2.325772,2.548960,0.969326,1.631951,1.342767,-0.162295,0.043841
0.020000,2.358913,2.550439,1.002500,1.658738,1.339345,-0.171117,0.045320
0.020000,2.392587,2.551990,1.036210,1.685459,1.336072,-0.163645,0.046747
0.020000,2.426791,2.553614,1.070452,1.712111,1.332591,-0.174013,0.048117
0.020000,2.461523,2.555310,1.105226,1.738693,1.329100,-0.174557,0.049425
0.020000,2.496783,2.557076,1.140530,1.765205,1.325592,-0.175399,0.050668
0.020000,2.532569,2.558912,1.176363,1.791645,1.322000,-0.179595,0.051842
0.020000,2.568879,2.560817,1.212723,1.818012,1.318354,-0.182329,0.052943
0.020000,2.605713,2.562788,1.249609,1.844304,1.314626,-0.186379,0.053967
0.020000,2.643068,2.564824,1.287019,1.870523,1.310916,-0.185510,0.054909
0.020000,2.680943,2.566922,1.324953,1.896664,1.307078,-0.191895,0.055766
0.020000,2.719337,2.569080,1.363407,1.922729,1.303220,-0.192895,0.056532
0.020000,2.758248,2.571296,1.402382,1.948714,1.299263,-0.197839,0.057203
0.020000,2.797675,2.573565,1.441874,1.974620,1.295295,-0.198437,0.057775
0.020000,2.837617,2.575885,1.481883,2.000445,1.291233,-0.203093,0.058244
0.020000,2.878071,2.578252,1.522407,2.026187,1.287112,-0.206048,0.058604
0.020000,2.919037,2.580661,1.563444,2.051845,1.282927,-0.209248,0.058851
0.020000,2.960514,2.583108,1.604992,2.077419,1.278672,-0.212726,0.058981
0.020000,3.002499,2.585588,1.647050,2.102906,1.274349,-0.216177,0.058988
0.020000,3.044991,2.588095,1.689616,2.128305,1.269954,-0.219728,0.058867
0.020000,3.087989,2.590624,1.732688,2.153615,1.265495,-0.222963,0.058613
0.020000,3.131491,2.593169,1.776265,2.178834,1.260943,-0.227587,0.058222
0.020000,3.175496,2.595722,1.820344,2.203960,1.256325,-0.230931,0.057688
0.020000,3.220003,2.598278,1.864924,2.228993,1.251630,-0.234730,0.057005
0.020000,3.265009,2.600828,1.910003,2.253930,1.246854,-0.238811,0.056169
0.020000,3.310514,2.603365,1.955578,2.278770,1.241991,-0.243165,0.055174
0.020000,3.356515,2.605879,2.001648,2.303510,1.237035,-0.247775,0.054014
0.020000,3.403012,2.608363,2.048211,2.328150,1.232003,-0.251602,0.052684
0.020000,3.450003,2.610806,2.095265,2.352689,1.226913,-0.254489,0.051178
0.020000,3.497485,2.613198,2.142808,2.377122,1.221669,-0.262226,0.049490
0.020000,3.545457,2.615530,2.190837,2.401449,1.216371,-0.264865,0.047614
0.020000,3.593918,2.617790,2.239350,2.425670,1.211037,-0.266731,0.045544
0.020000,3.642865,2.619965,2.288346,2.449781,1.205521,-0.275769,0.043274
0.020000,3.692297,2.622045,2.337821,2.473780,1.199958,-0.278169,0.040798
0.020000,3.742211,2.624016,2.387775,2.497666,1.194333,-0.281274,0.038109
0.020000,3.792606,2.625865,2.438203,2.521439,1.188603,-0.286455,0.035200
0.020000,3.843479,2.627578,2.489105,2.545093,1.182736,-0.293374,0.032067
0.020000,3.894828,2.629139,2.540478,2.568631,1.176912,-0.291204,0.028700
0.020000,3.946650,2.630534,2.592319,2.592049,1.170869,-0.302158,0.025095
0.020000,3.998943,2.631747,2.644626,2.615347,1.164932,-0.296836,0.021244
0.020000,4.051704,2.632761,2.697396,2.638523,1.158782,-0.307498,0.017141
0.020000,4.104930,2.633558,2.750628,2.661576,1.152645,-0.306832,0.012777
0.020000,4.158617,2.634121,2.804318,2.684505,1.146470,-0.308794,0.008148
0.020000,4.212762,2.634430,2.858464,2.707311,1.140259,-0.310523,0.003245
0.020000,4.267362,2.634467,2.913064,2.729993,1.134109,-0.307482,6.281246
0.020000,4.322412,2.634211,2.968115,2.752549,1.127827,-0.314108,6.275775
0.020000,4.377909,2.633641,3.023615,2.774983,1.121691,-0.306832,6.270010
0.020000,4.433848,2.632735,3.079560,2.797294,1.115535,-0.307761,6.263943
0.020000,4.490223,2.631472,3.135950,2.819485,1.109542,-0.299692,6.257568
0.020000,4.547030,2.629827,3.192781,2.841556,1.103557,-0.299221,6.250879
0.020000,4.604264,2.627778,3.250051,2.863511,1.097763,-0.289689,6.243868
0.020000,4.661918,2.625300,3.307759,2.885354,1.092140,-0.281154,6.236530
0.020000,4.719986,2.622367,3.365900,2.907089,1.086733,-0.270359,6.228857
0.020000,4.778460,2.618953,3.424475,2.928720,1.081562,-0.258540,6.220846
0.020000,4.837335,2.615032,3.483480,2.950255,1.076750,-0.240624,6.212489
0.020000,4.896602,2.610578,3.542914,2.971699,1.072221,-0.226462,6.203783
0.020000,4.956253,2.605561,3.602775,2.993064,1.068218,-0.200153,6.194722
0.020000,5.016278,2.599953,3.663062,3.014354,1.064539,-0.183904,6.185302
0.020000,5.076670,2.593726,3.723774,3.035584,1.061506,-0.151653,6.175521
0.020000,5.137417,2.586850,3.784909,3.056766,1.059074,-0.121617,6.165374
0.020000,5.198510,2.579294,3.846467,3.077912,1.057296,-0.088920,6.154861
0.020000,5.259756,2.571055,3.908265,3.089893,0.599042,-22.912663,6.144012
0.020000,5.320708,2.562173,3.969861,3.079789,-0.505168,-55.210530,6.132911
0.020000,5.381028,2.552693,4.030921,3.053015,-1.338716,-41.677369,6.121629
0.020000,5.440637,2.542629,4.091374,3.022629,-1.519300,-9.029232,6.110194
0.020000,5.499533,2.531988,4.151224,2.992500,-1.506437,0.643178,6.098621
0.020000,5.557715,2.520774,4.210477,2.962637,-1.493165,0.663606,6.086924
0.020000,5.615182,2.508997,4.269137,2.933034,-1.480173,0.649576,6.075118
0.020000,5.671931,2.496664,4.327211,2.903697,-1.466833,0.666984,6.063219
0.020000,5.727962,2.483784,4.384704,2.874616,-1.454025,0.640412,6.051240
0.020000,5.783274,2.470368,4.441620,2.845806,-1.440530,0.674762,6.039197
0.020000,5.837868,2.456427,4.497965,2.817255,-1.427540,0.649488,6.027105
0.020000,5.891741,2.441972,4.553744,2.788964,-1.414561,0.648951,6.014977
0.020000,5.944896,2.427017,4.608962,2.760916,-1.402384,0.608835,6.002828
0.020000,5.997331,2.411573,4.663625,2.733128,-1.389399,0.649274,5.990672
0.020000,6.049049,2.395656,4.717736,2.705577,-1.377559,0.591988,5.978523
0.020000,6.100049,2.379278,4.771302,2.678270,-1.365365,0.609732,5.966394
0.020000,6.150334,2.362456,4.824326,2.651185,-1.354244,0.556050,5.954297
0.020000,6.199904,2.345205,4.876812,2.624318,-1.343361,0.544118,5.942246
0.020000,6.256997,2.325140,4.937328,3.025792,20.073710,1070.853580,5.957525
0.020000,6.318429,2.305296,5.001886,3.227907,10.105763,-498.397359,5.982538
0.020000,6.376453,2.287838,5.062480,3.029690,-9.910868,-1000.831564,5.997955
0.020000,6.431126,2.272043,5.119388,2.845424,-9.213305,34.878139,6.004564
0.020000,6.482458,2.257349,5.172782,2.669672,-8.787598,21.285342,6.002843
0.020000,6.530398,2.243328,5.222730,2.497435,-8.611838,8.788023,5.992992
0.020000,6.574828,2.229662,5.269215,2.324211,-8.661200,-2.468089,5.974956
0.020000,6.615563,2.216137,5.312136,2.146063,-8.907380,-12.309026,5.948458
0.020000,6.652365,2.202645,5.351333,1.959851,-9.310601,-20.161019,5.913046
0.020000,6.684973,2.189191,5.386608,1.763744,-9.805374,-24.738668,5.868162
0.020000,6.713154,2.175889,5.417770,1.558135,-10.280440,-23.753303,5.813273
0.020000,6.736785,2.162955,5.444710,1.346980,-10.557732,-13.864606,5.748067
0.020000,6.755957,2.150643,5.467495,1.139246,-10.386726,8.550322,5.672735
0.020000,6.771068,2.139139,5.486486,0.949534,-9.485576,45.057515,5.588290
0.020000,6.782842,2.128411,5.502414,0.796440,-7.654731,91.542223,5.496791
0.020000,6.792226,2.118085,5.516367,0.697649,-4.939541,135.759503,5.401291
0.020000,6.800156,2.107453,5.529631,0.663160,-1.724425,160.755794,5.305406
0.020000,6.807324,2.095645,5.543444,0.690685,1.376212,155.031873,5.212625
0.020000,6.814067,2.081874,5.558777,0.766650,3.798281,121.103443,5.125673
0.020000,6.820406,2.065626,5.576218,0.872050,5.269997,73.585807,5.046204
0.020000,6.826189,2.046715,5.595995,0.988815,5.838250,28.412630,4.974857
0.020000,6.831213,2.025223,5.618066,1.103567,5.737599,-5.032548,4.911519
0.020000,6.835307,2.001406,5.642232,1.208305,5.236896,-25.035163,4.855627
0.020000,6.838304,1.976214,5.667601,1.268474,3.008441,-111.422725,4.807855
0.020000,6.840563,1.946804,5.697098,1.474804,10.316522,365.404025,4.770059
0.020000,6.841679,1.917983,5.725941,1.442156,-1.632409,-597.446528,4.731983
0.020000,6.841696,1.889715,5.754209,1.413395,-1.438030,9.718930,4.693846
0.020000,6.840655,1.861962,5.781981,1.388631,-1.238234,9.989821,4.655872
0.020000,6.838596,1.834683,5.809338,1.367830,-1.040055,9.908944,4.618284
0.020000,6.835560,1.807837,5.836355,1.350837,-0.849641,9.520688,4.581296
0.020000,6.831583,1.781387,5.863102,1.337372,-0.673254,8.819374,4.545107
0.020000,6.826702,1.755299,5.889643,1.327055,-0.515828,7.871306,4.509894
0.020000,6.820953,1.729544,5.916032,1.319439,-0.380805,6.751128,4.475808
0.020000,6.814372,1.704100,5.942313,1.314034,-0.270268,5.526849,4.442974
0.020000,6.806997,1.678953,5.968519,1.310338,-0.184804,4.273201,4.411488
0.020000,6.798867,1.654091,5.994677,1.307863,-0.123743,3.053054,4.381418
0.020000,6.790023,1.629511,6.020800,1.306154,-0.085418,1.916255,4.352808
0.020000,6.780507,1.605212,6.046896,1.304805,-0.067482,0.896818,4.325679
0.020000,6.770363,1.581197,6.072965,1.303462,-0.067166,0.015759,4.300029
0.020000,6.759638,1.557472,6.099002,1.301829,-0.081620,-0.722695,4.275844
0.020000,6.748378,1.534044,6.124995,1.299670,-0.107964,-1.317176,4.253094
0.020000,6.736630,1.510921,6.150931,1.296798,-0.143595,-1.781538,4.231737
0.020000,6.724441,1.488112,6.176792,1.293076,-0.186108,-2.125690,4.211728
