dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.368551,4.469855,0.000138,0.013828,0.691411,34.570561,6.283058
0.020000,1.368533,4.469855,0.000156,0.000897,-0.646576,-66.899345,6.283109
0.020000,1.368761,4.469855,0.000384,0.011368,0.523583,58.507932,0.000024
0.020000,1.370367,4.469855,0.001990,0.080300,3.446603,146.151003,0.000174
0.020000,1.372509,4.469856,0.004131,0.107092,1.339580,-105.351133,0.000373
0.020000,1.375187,4.469857,0.006810,0.133905,1.340642,0.053073,0.000619
0.020000,1.378402,4.469860,0.010024,0.160744,1.341970,0.066421,0.000911
0.020000,1.382154,4.469864,0.013777,0.187616,1.343562,0.079609,0.001247
0.020000,1.386444,4.469870,0.018067,0.214524,1.345419,0.092836,0.001626
0.020000,1.391274,4.469879,0.022897,0.241475,1.347538,0.105919,0.002044
0.020000,1.396643,4.469891,0.028266,0.268473,1.349931,0.119694,0.002499
0.020000,1.402554,4.469907,0.034177,0.295525,1.352576,0.132207,0.002988
0.020000,1.409006,4.469928,0.040629,0.322635,1.355492,0.145816,0.003508
0.020000,1.416003,4.469954,0.047626,0.349808,1.358672,0.158989,0.004055
0.020000,1.423544,4.469987,0.055167,0.377050,1.362111,0.171957,0.004625
0.020000,1.431631,4.470027,0.063254,0.404367,1.365813,0.185087,0.005215
0.020000,1.440266,4.470075,0.071889,0.431762,1.369785,0.198629,0.005819
0.020000,1.449451,4.470131,0.081074,0.459242,1.374007,0.211110,0.006433
0.020000,1.459187,4.470197,0.090810,0.486812,1.378501,0.224685,0.007052
0.020000,1.469476,4.470272,0.101100,0.514477,1.383252,0.237554,0.007670
0.020000,1.480320,4.470359,0.111945,0.542243,1.388267,0.250723,0.008282
0.020000,1.491722,4.470457,0.123347,0.570114,1.393539,0.263600,0.008882
0.020000,1.503684,4.470567,0.135309,0.598095,1.399076,0.276851,0.009464
0.020000,1.516207,4.470689,0.147833,0.626192,1.404870,0.289733,0.010022
0.020000,1.529294,4.470823,0.160921,0.654411,1.410929,0.302956,0.010547
0.020000,1.542949,4.470971,0.174576,0.682756,1.417245,0.315809,0.011034
0.020000,1.557172,4.471131,0.188801,0.711232,1.423826,0.329001,0.011475
0.020000,1.571968,4.471304,0.203598,0.739846,1.430669,0.342150,0.011861
0.020000,1.587339,4.471489,0.218970,0.768601,1.437772,0.355153,0.012186
0.020000,1.603288,4.471685,0.234920,0.797504,1.445140,0.368423,0.012441
0.020000,1.619818,4.471892,0.251451,0.826560,1.452772,0.381574,0.012618
