dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.368461,3.758655,0.000138,0.013828,0.691411,34.570561,6.283058
0.020000,1.368479,3.758655,0.000156,0.000897,-0.646576,-66.899345,6.283109
0.020000,1.368778,3.758655,0.000455,0.014945,0.702395,67.448512,0.000024
0.020000,1.370491,3.758655,0.002168,0.085638,3.534682,141.614349,0.000174
0.020000,1.372774,3.758656,0.004451,0.114160,1.426065,-105.430816,0.000373
0.020000,1.375627,3.758657,0.007304,0.142660,1.425003,-0.053132,0.000619
0.020000,1.379050,3.758660,0.010727,0.171133,1.423677,-0.066304,0.000911
0.020000,1.383041,3.758664,0.014718,0.199575,1.422084,-0.079631,0.001247
0.020000,1.387601,3.758671,0.019278,0.227979,1.420226,-0.092895,0.001626
0.020000,1.392728,3.758680,0.024405,0.256341,1.418100,-0.106289,0.002044
0.020000,1.398421,3.758693,0.030098,0.284656,1.415722,-0.118921,0.002499
0.020000,1.404679,3.758710,0.036356,0.312917,1.413065,-0.132864,0.002988
0.020000,1.411501,3.758732,0.043179,0.341120,1.410152,-0.145614,0.003508
0.020000,1.418886,3.758760,0.050564,0.369260,1.406976,-0.158794,0.004055
0.020000,1.426833,3.758795,0.058510,0.397330,1.403533,-0.172154,0.004625
0.020000,1.435339,3.758837,0.067017,0.425327,1.399827,-0.185308,0.005215
0.020000,1.444404,3.758887,0.076082,0.453244,1.395867,-0.197993,0.005819
0.020000,1.454025,3.758946,0.085703,0.481077,1.391632,-0.211758,0.006433
0.020000,1.464202,3.759014,0.095880,0.508820,1.387145,-0.224342,0.007052
0.020000,1.474931,3.759093,0.106609,0.536468,1.382393,-0.237637,0.007670
0.020000,1.486211,3.759183,0.117889,0.564015,1.377381,-0.250592,0.008282
0.020000,1.498039,3.759285,0.129719,0.591457,1.372104,-0.263830,0.008882
0.020000,1.510415,3.759398,0.142094,0.618789,1.366571,-0.276666,0.009464
0.020000,1.523334,3.759524,0.155014,0.646004,1.360773,-0.289881,0.010022
0.020000,1.536795,3.759663,0.168476,0.673099,1.354718,-0.302749,0.010547
0.020000,1.550796,3.759814,0.182478,0.700066,1.348398,-0.316017,0.011034
0.020000,1.565333,3.759978,0.197016,0.726903,1.341818,-0.328968,0.011475
0.020000,1.580404,3.760154,0.212088,0.753602,1.334978,-0.342014,0.011861
0.020000,1.596006,3.760341,0.227691,0.780160,1.327873,-0.355274,0.012186
0.020000,1.612136,3.760540,0.243822,0.806570,1.320506,-0.368350,0.012441
0.020000,1.628792,3.760749,0.260479,0.832827,1.312873,-0.381654,0.012618
0.020000,1.645969,3.760967,0.277658,0.858927,1.304975,-0.394871,0.012706
0.020000,1.663664,3.761192,0.295355,0.884863,1.296809,-0.408292,0.012698
0.020000,1.681876,3.761422,0.313567,0.910631,1.288375,-0.421733,0.012584
0.020000,1.700599,3.761656,0.332292,0.936224,1.279669,-0.435269,0.012354
0.020000,1.719830,3.761890,0.351525,0.961638,1.270689,-0.449029,0.011997
0.020000,1.739566,3.762122,0.371262,0.986866,1.261435,-0.462675,0.011504
0.020000,1.759803,3.762349,0.391500,1.011905,1.251903,-0.476618,0.010864
0.020000,1.780537,3.762566,0.412235,1.036746,1.242084,-0.490961,0.010065
0.020000,1.801763,3.762770,0.433463,1.061386,1.231989,-0.504714,0.009097
0.020000,1.823479,3.762955,0.455179,1.085818,1.221603,-0.519307,0.007948
0.020000,1.845679,3.763117,0.477380,1.110037,1.210924,-0.533979,0.006605
0.020000,1.868359,3.763249,0.500061,1.134036,1.199959,-0.548220,0.005056
0.020000,1.891515,3.763346,0.523217,1.157810,1.188693,-0.563308,0.003289
0.020000,1.915142,3.763401,0.546844,1.181352,1.177140,-0.577660,0.001290
0.020000,1.939235,3.763405,0.570937,1.204658,1.165278,-0.593119,6.282233
0.020000,1.963790,3.763352,0.595491,1.227721,1.153134,-0.607167,6.279731
0.020000,1.988800,3.763231,0.620502,1.250534,1.140677,-0.622837,6.276957
0.020000,2.014261,3.763034,0.645964,1.273093,1.127939,-0.636910,6.273897
0.020000,2.040168,3.762750,0.671872,1.295391,1.114917,-0.651099,6.270535
0.020000,2.066513,3.762369,0.698220,1.317423,1.101608,-0.665467,6.266857
0.020000,2.093293,3.761879,0.725004,1.339184,1.088035,-0.678654,6.262847
0.020000,2.120499,3.761267,0.752217,1.360669,1.074218,-0.690828,6.258490
0.020000,2.148126,3.760520,0.779855,1.381872,1.060155,-0.703166,6.253770
0.020000,2.176168,3.759624,0.807910,1.402790,1.045897,-0.712905,6.248672
0.020000,2.204616,3.758564,0.836379,1.423419,1.031457,-0.721997,6.243177
0.020000,2.233465,3.757325,0.865254,1.443756,1.016887,-0.728503,6.237272
0.020000,2.262706,3.755889,0.894530,1.463801,1.002223,-0.733218,6.230938
0.020000,2.292331,3.754240,0.924201,1.483552,0.987533,-0.734476,6.224160
0.020000,2.322332,3.752359,0.954261,1.503009,0.972877,-0.732819,6.216920
0.020000,2.352701,3.750227,0.984705,1.522176,0.958340,-0.726834,6.209203
0.020000,2.383428,3.747824,1.015526,1.541056,0.944014,-0.716294,6.200993
0.020000,2.414505,3.745129,1.046719,1.559656,0.930007,-0.700364,6.192273
0.020000,2.445921,3.742119,1.078279,1.577985,0.916454,-0.677664,6.183029
0.020000,2.477666,3.738773,1.110200,1.596055,0.903470,-0.649184,6.173245
0.020000,2.509730,3.735067,1.142477,1.613880,0.891237,-0.611624,6.162909
0.020000,2.542102,3.730977,1.175107,1.631479,0.879955,-0.564129,6.152006
