dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.368461,4.469855,0.000138,0.013828,0.691411,34.570561,0.000127
0.020000,1.368479,4.469855,0.000156,0.000897,-0.646576,-66.899345,0.000077
0.020000,1.368778,4.469855,0.000455,0.014945,0.702395,67.448512,6.283161
0.020000,1.370491,4.469855,0.002168,0.085638,3.534682,141.614349,6.283011
0.020000,1.372774,4.469854,0.004451,0.114160,1.426065,-105.430816,6.282813
0.020000,1.375627,4.469853,0.007304,0.142660,1.425003,-0.053132,6.282566
0.020000,1.379050,4.469850,0.010727,0.171133,1.423677,-0.066304,6.282274
0.020000,1.383041,4.469846,0.014718,0.199575,1.422084,-0.079631,6.281938
0.020000,1.387601,4.469839,0.019278,0.227979,1.420226,-0.092895,6.281560
0.020000,1.392728,4.469830,0.024405,0.256341,1.418100,-0.106289,6.281141
0.020000,1.398421,4.469817,0.030098,0.284656,1.415722,-0.118921,6.280686
0.020000,1.404679,4.469800,0.036356,0.312917,1.413065,-0.132864,6.280197
0.020000,1.411501,4.469778,0.043179,0.341120,1.410152,-0.145614,6.279677
0.020000,1.418886,4.469750,0.050564,0.369260,1.406976,-0.158794,6.279130
0.020000,1.426833,4.469715,0.058510,0.397330,1.403533,-0.172154,6.278560
0.020000,1.435339,4.469673,0.067017,0.425327,1.399827,-0.185308,6.277971
0.020000,1.444404,4.469623,0.076082,0.453244,1.395867,-0.197993,6.277367
0.020000,1.454025,4.469564,0.085703,0.481077,1.391632,-0.211758,6.276753
0.020000,1.464202,4.469496,0.095880,0.508820,1.387145,-0.224342,6.276134
0.020000,1.474931,4.469417,0.106609,0.536468,1.382393,-0.237637,6.275515
0.020000,1.486211,4.469327,0.117889,0.564015,1.377381,-0.250592,6.274903
0.020000,1.498039,4.469225,0.129719,0.591457,1.372104,-0.263830,6.274303
0.020000,1.510415,4.469112,0.142094,0.618789,1.366571,-0.276666,6.273721
0.020000,1.523334,4.468986,0.155014,0.646004,1.360773,-0.289881,6.273164
0.020000,1.536795,4.468847,0.168476,0.673099,1.354718,-0.302749,6.272638
0.020000,1.550796,4.468696,0.182478,0.700066,1.348398,-0.316017,6.272151
0.020000,1.565333,4.468532,0.197016,0.726903,1.341818,-0.328968,6.271711
0.020000,1.580404,4.468356,0.212088,0.753602,1.334978,-0.342014,6.271324
0.020000,1.596006,4.468169,0.227691,0.780160,1.327873,-0.355274,6.270999
0.020000,1.612136,4.467970,0.243822,0.806570,1.320506,-0.368350,6.270744
0.020000,1.628792,4.467761,0.260479,0.832827,1.312873,-0.381654,6.270568
0.020000,1.645969,4.467543,0.277658,0.858927,1.304975,-0.394871,6.270479
0.020000,1.663664,4.467318,0.295355,0.884863,1.296809,-0.408292,6.270487
0.020000,1.681876,4.467088,0.313567,0.910631,1.288375,-0.421733,6.270601
0.020000,1.700599,4.466854,0.332292,0.936224,1.279669,-0.435269,6.270832
0.020000,1.719830,4.466620,0.351525,0.961638,1.270689,-0.449029,6.271188
0.020000,1.739566,4.466388,0.371262,0.986866,1.261435,-0.462675,6.271681
0.020000,1.759803,4.466161,0.391500,1.011905,1.251903,-0.476618,6.272321
0.020000,1.780537,4.465944,0.412235,1.036746,1.242084,-0.490961,6.273120
0.020000,1.801763,4.465740,0.433463,1.061386,1.231989,-0.504714,6.274088
0.020000,1.823479,4.465555,0.455179,1.085818,1.221603,-0.519307,6.275238
0.020000,1.845679,4.465393,0.477380,1.110037,1.210924,-0.533979,6.276581
0.020000,1.868359,4.465261,0.500061,1.134036,1.199959,-0.548220,6.278129
0.020000,1.891515,4.465164,0.523217,1.157810,1.188693,-0.563308,6.279896
0.020000,1.915142,4.465109,0.546844,1.181352,1.177140,-0.577660,6.281895
0.020000,1.939235,4.465105,0.570937,1.204658,1.165278,-0.593119,0.000953
0.020000,1.963790,4.465158,0.595491,1.227721,1.153134,-0.607167,0.003454
0.020000,1.988800,4.465279,0.620502,1.250534,1.140677,-0.622837,0.006228
0.020000,2.014261,4.465476,0.645964,1.273093,1.127939,-0.636910,0.009288
0.020000,2.040168,4.465760,0.671872,1.295391,1.114917,-0.651099,0.012650
0.020000,2.066513,4.466141,0.698220,1.317423,1.101608,-0.665467,0.016328
0.020000,2.093293,4.466631,0.725004,1.339184,1.088035,-0.678654,0.020338
0.020000,2.120499,4.467243,0.752217,1.360669,1.074218,-0.690828,0.024695
0.020000,2.148126,4.467990,0.779855,1.381872,1.060155,-0.703166,0.029415
0.020000,2.176168,4.468886,0.807910,1.402790,1.045897,-0.712905,0.034514
0.020000,2.204616,4.469946,0.836379,1.423419,1.031457,-0.721997,0.040008
0.020000,2.233465,4.471185,0.865254,1.443756,1.016887,-0.728503,0.045913
0.020000,2.262706,4.472621,0.894530,1.463801,1.002223,-0.733218,0.052247
0.020000,2.292331,4.474270,0.924201,1.483552,0.987533,-0.734476,0.059026
0.020000,2.322332,4.476151,0.954261,1.503009,0.972877,-0.732819,0.066265
0.020000,2.352701,4.478283,0.984705,1.522176,0.958340,-0.726834,0.073982
0.020000,2.383428,4.480686,1.015526,1.541056,0.944014,-0.716294,0.082193
0.020000,2.414505,4.483381,1.046719,1.559656,0.930007,-0.700364,0.090912
0.020000,2.445921,4.486391,1.078279,1.577985,0.916454,-0.677664,0.100157
0.020000,2.477666,4.489737,1.110200,1.596055,0.903470,-0.649184,0.109940
0.020000,2.509730,4.493443,1.142477,1.613880,0.891237,-0.611624,0.120277
0.020000,2.542102,4.497533,1.175107,1.631479,0.879955,-0.564129,0.131179
0.020000,2.574771,4.502033,1.208084,1.648874,0.869755,-0.509970,0.142658
0.020000,2.607726,4.506968,1.241406,1.666092,0.860924,-0.441575,0.154724
0.020000,2.640953,4.512365,1.275070,1.683165,0.853619,-0.365265,0.167386
0.020000,2.674443,4.518251,1.309072,1.700128,0.848175,-0.272200,0.180648
0.020000,2.708181,4.524654,1.343413,1.717023,0.844772,-0.170149,0.194516
0.020000,2.742156,4.531601,1.378091,1.733897,0.843674,-0.054905,0.208990
0.020000,2.776354,4.539123,1.413107,1.750801,0.845218,0.077209,0.224069
0.020000,2.810764,4.547248,1.448462,1.767793,0.849577,0.217970,0.239748
0.020000,2.852398,4.557304,1.491294,2.141561,18.688395,891.940910,0.232921
0.020000,2.895985,4.567464,1.536049,2.237773,4.810612,-693.889184,0.225278
0.020000,2.939760,4.577343,1.580925,2.243792,0.300928,-225.484187,0.218852
0.020000,2.983692,4.586990,1.625904,2.248936,0.257245,-2.184159,0.213693
0.020000,3.027750,4.596457,1.670968,2.253201,0.213242,-2.200151,0.209849
0.020000,3.071904,4.605799,1.716099,2.256571,0.168496,-2.237284,0.207371
0.020000,3.116123,4.615072,1.761280,2.259024,0.122641,-2.292728,0.206311
0.020000,3.160374,4.624337,1.806490,2.260532,0.075379,-2.363122,0.206721
0.020000,3.204625,4.633656,1.851711,2.261061,0.026494,-2.444269,0.208657
0.020000,3.248840,4.643093,1.896923,2.260580,-0.024099,-2.529625,0.212176
0.020000,3.292985,4.652715,1.942104,2.259053,-0.076330,-2.611564,0.217336
0.020000,3.337020,4.662591,1.987233,2.256454,-0.129922,-2.679590,0.224197
0.020000,3.380906,4.672791,2.032289,2.252768,-0.184346,-2.721197,0.232821
0.020000,3.424600,4.683386,2.077248,2.247992,-0.238765,-2.720932,0.243269
0.020000,3.468057,4.694448,2.122091,2.242153,-0.291961,-2.659828,0.255601
0.020000,3.511231,4.706052,2.166798,2.235307,-0.342290,-2.516445,0.269873
0.020000,3.554073,4.718271,2.211349,2.227555,-0.387610,-2.265989,0.286136
0.020000,3.596536,4.731179,2.255730,2.219050,-0.425249,-1.881957,0.304432
0.020000,3.638569,4.744849,2.299930,2.210010,-0.451998,-1.337464,0.324792
0.020000,3.680125,4.759355,2.343944,2.200728,-0.464122,-0.606210,0.347229
0.020000,3.721157,4.774767,2.387776,2.191577,-0.457545,0.328865,0.371736
0.020000,3.761624,4.791157,2.431436,2.183017,-0.427996,1.477438,0.398279
0.020000,3.802562,4.809059,2.476117,2.234053,2.551829,148.991269,0.421026
0.020000,3.856791,4.832872,2.535344,2.961323,36.363462,1690.581629,0.406908
0.020000,3.910998,4.855848,2.594219,2.943783,-0.876972,-1862.021704,0.395332
0.020000,3.965086,4.878122,2.652715,2.924755,-0.951403,-3.721547,0.386383
0.020000,4.018963,4.899831,2.710801,2.904302,-1.022646,-3.562153,0.380140
0.020000,4.072538,4.921117,2.768449,2.882436,-1.093334,-3.534375,0.376682
0.020000,4.125723,4.942122,2.825632,2.859125,-1.165537,-3.610173,0.376091
0.020000,4.178428,4.962991,2.882318,2.834313,-1.240597,-3.752997,0.378451
0.020000,4.230562,4.983868,2.938477,2.807934,-1.318942,-3.917240,0.383849
0.020000,4.282031,5.004895,2.994076,2.779937,-1.399874,-4.046578,0.392378
0.020000,4.332739,5.026212,3.049082,2.750310,-1.481331,-4.072882,0.404128
0.020000,4.382584,5.047957,3.103464,2.719118,-1.559602,-3.913526,0.419187
0.020000,4.431466,5.070264,3.157195,2.686537,-1.629064,-3.473103,0.437634
0.020000,4.479282,5.093259,3.210253,2.652897,-1.681955,-2.644536,0.459527
0.020000,4.525932,5.117067,3.262627,2.618731,-1.708321,-1.318298,0.484896
0.020000,4.571325,5.141806,3.314323,2.584806,-1.696244,0.603810,0.513728
0.020000,4.633373,5.175869,3.385107,3.539176,47.718486,2470.736523,0.486130
0.020000,4.699617,5.209526,3.459410,3.715167,8.799556,-1945.946487,0.454494
0.020000,4.766371,5.240948,3.533190,3.688988,-1.308950,-505.425332,0.425888
0.020000,4.833407,5.270319,3.606378,3.659404,-1.479180,-8.511479,0.400502
0.020000,4.900526,5.297847,3.678923,3.627217,-1.609364,-6.509191,0.378484
0.020000,4.967551,5.323762,3.750783,3.593042,-1.708747,-4.969167,0.359944
0.020000,5.034128,5.348229,3.821714,3.546521,-2.326047,-30.864983,0.345012
0.020000,5.099654,5.371343,3.891197,3.474169,-3.617619,-64.578615,0.333794
0.020000,5.163696,5.393261,3.958886,3.384461,-4.485401,-43.389121,0.326279
0.020000,5.226123,5.414229,4.024740,3.292696,-4.588243,-5.142106,0.322369
0.020000,5.286888,5.434493,4.088795,3.202736,-4.497995,4.512419,0.321964
0.020000,5.345951,5.454274,4.151083,3.114390,-4.417325,4.033499,0.324972
0.020000,5.403276,5.473772,4.211632,3.027475,-4.345708,3.580856,0.331313
0.020000,5.458826,5.493161,4.270469,2.941854,-4.281092,3.230788,0.340914
0.020000,5.512569,5.512597,4.327618,2.857453,-4.220036,3.052800,0.353705
0.020000,5.564471,5.532215,4.383104,2.774291,-4.158083,3.097656,0.369618
0.020000,5.614503,5.552128,4.436954,2.692497,-4.089691,3.419629,0.388575
0.020000,5.662641,5.572437,4.489201,2.612323,-4.008711,4.048961,0.410485
0.020000,5.708866,5.593223,4.539884,2.534152,-3.908561,5.007507,0.435236
0.020000,5.753169,5.614551,4.589054,2.458496,-3.782794,6.288378,0.462685
0.020000,5.795554,5.636477,4.636773,2.385985,-3.625575,7.860909,0.492657
0.020000,5.836035,5.659043,4.683120,2.317329,-3.432770,9.640294,0.524934
0.020000,5.874646,5.682284,4.728186,2.253286,-3.202152,11.530857,0.559256
0.020000,5.911429,5.706231,4.772077,2.194586,-2.935022,13.356502,0.595325
0.020000,5.950838,5.733952,4.820259,2.409100,10.725709,683.036583,0.614649
0.020000,6.013407,5.775523,4.895379,3.755993,67.344674,2830.948251,0.559768
0.020000,6.073607,5.811434,4.965476,3.504862,-12.556572,-3995.062313,0.517468
0.020000,6.131012,5.842893,5.030936,3.272997,-11.593224,48.167406,0.486661
0.020000,6.185400,5.870917,5.092120,3.059190,-10.690374,45.142495,0.466327
0.020000,6.236646,5.896324,5.149318,2.859890,-9.965002,36.268575,0.455650
0.020000,6.284646,5.919755,5.202733,2.670724,-9.458279,25.336187,0.454057
0.020000,6.329290,5.941700,5.252478,2.487285,-9.171961,14.315907,0.461226
0.020000,6.370436,5.962514,5.298589,2.305535,-9.087526,4.221710,0.477060
0.020000,6.407915,5.982430,5.341031,2.122088,-9.172328,-4.240089,0.501655
0.020000,6.441542,6.001568,5.379722,1.934570,-9.375893,-10.178257,0.535238
0.020000,6.471146,6.019942,5.414565,1.742145,-9.621264,-12.268547,0.578087
0.020000,6.496619,6.037478,5.445491,1.546303,-9.792115,-8.542550,0.630392
0.020000,6.517981,6.054048,5.472526,1.351764,-9.726951,3.258223,0.692081
0.020000,6.535442,6.069541,5.495869,1.167156,-9.230366,24.829219,0.762596
0.020000,6.549440,6.083958,5.515964,1.004709,-8.122380,55.399312,0.840691
0.020000,6.560613,6.097510,5.533527,0.878188,-6.326036,89.817179,0.924346
0.020000,6.569686,6.110665,5.549508,0.799035,-3.957658,118.418944,1.010898
0.020000,6.577312,6.124093,5.564951,0.772145,-1.344464,130.659677,1.097408
0.020000,6.583942,6.138518,5.580827,0.793798,1.082637,121.355036,1.181144
0.020000,6.589780,6.154550,5.597888,0.853078,2.963966,94.066450,1.259992
0.020000,6.594833,6.172572,5.616605,0.935846,4.138422,58.722814,1.332630
0.020000,6.599004,6.192719,5.637180,1.028714,4.643412,25.249515,1.398490
0.020000,6.602174,6.214924,5.659610,1.121496,4.639114,-0.214919,1.457579
0.020000,6.606207,6.254231,5.699123,1.975653,42.707843,1903.436472,1.464195
0.020000,6.611427,6.300369,5.745555,2.321605,17.297581,-1270.513121,1.452683
0.020000,6.616840,6.344470,5.789987,2.221619,-4.999320,-1114.845036,1.445239
0.020000,6.622252,6.386634,5.832497,2.125488,-4.806518,9.640085,1.441647
0.020000,6.627498,6.426945,5.873148,2.032563,-4.646256,8.013092,1.441726
0.020000,6.632440,6.465474,5.911993,1.942238,-4.516272,6.499232,1.445329
0.020000,6.636963,6.502277,5.949072,1.853978,-4.412958,5.165681,1.452341
0.020000,6.640970,6.537396,5.984419,1.767345,-4.331670,4.064411,1.462669
0.020000,6.644384,6.570863,6.018060,1.682007,-4.266920,3.237513,1.476241
0.020000,6.647145,6.602698,6.050015,1.597756,-4.212548,2.718561,1.492997
