dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.368506,4.114255,0.000138,0.013828,0.691411,34.570561,0.000127
0.020000,1.368506,4.114255,0.000691,0.041485,1.382822,34.570561,0.000077
0.020000,1.368769,4.114255,0.001798,0.069141,1.382822,0.000000,6.283161
0.020000,1.370429,4.114255,0.003457,0.096798,1.382822,-0.000000,6.283011
0.020000,1.372641,4.114254,0.005670,0.124454,1.382822,0.000000,6.282813
0.020000,1.375407,4.114253,0.008435,0.152110,1.382822,0.000000,6.282566
0.020000,1.378726,4.114250,0.011754,0.179767,1.382822,-0.000000,6.282274
0.020000,1.382598,4.114246,0.015626,0.207423,1.382822,0.000000,6.281938
0.020000,1.387023,4.114240,0.020051,0.235080,1.382822,0.000000,6.281560
0.020000,1.392001,4.114231,0.025029,0.262736,1.382822,0.000000,6.281141
0.020000,1.397532,4.114218,0.030560,0.290393,1.382822,0.000000,6.280686
0.020000,1.403616,4.114201,0.036645,0.318049,1.382822,-0.000000,6.280197
0.020000,1.410254,4.114180,0.043282,0.345706,1.382822,0.000000,6.279677
0.020000,1.417445,4.114153,0.050473,0.373362,1.382822,-0.000000,6.279130
0.020000,1.425188,4.114119,0.058217,0.401019,1.382822,0.000000,6.278560
0.020000,1.433485,4.114078,0.066514,0.428675,1.382822,0.000000,6.277971
0.020000,1.442335,4.114029,0.075364,0.456331,1.382822,-0.000000,6.277367
0.020000,1.451738,4.113972,0.084767,0.483988,1.382822,0.000000,6.276753
0.020000,1.461694,4.113905,0.094723,0.511644,1.382822,-0.000000,6.276134
0.020000,1.472203,4.113827,0.105233,0.539301,1.382822,0.000000,6.275515
0.020000,1.483266,4.113739,0.116295,0.566957,1.382822,0.000000,6.274903
0.020000,1.494881,4.113639,0.127911,0.594614,1.382822,0.000000,6.274303
0.020000,1.507049,4.113527,0.140080,0.622270,1.382822,0.000000,6.273721
0.020000,1.519770,4.113403,0.152802,0.649927,1.382822,0.000000,6.273164
0.020000,1.533045,4.113267,0.166077,0.677583,1.382822,0.000000,6.272638
0.020000,1.546872,4.113118,0.179905,0.705239,1.382822,0.000000,6.272151
0.020000,1.561253,4.112956,0.194287,0.732896,1.382822,0.000000,6.271711
0.020000,1.576186,4.112781,0.209221,0.760552,1.382822,-0.000000,6.271324
0.020000,1.591673,4.112595,0.224709,0.788209,1.382822,0.000000,6.270999
0.020000,1.607712,4.112397,0.240749,0.815865,1.382822,0.000000,6.270744
0.020000,1.624305,4.112189,0.257343,0.843522,1.382822,-0.000000,6.270568
0.020000,1.641450,4.111972,0.274490,0.871178,1.382822,0.000000,6.270479
0.020000,1.659149,4.111747,0.292190,0.898835,1.382822,-0.000000,6.270487
0.020000,1.677401,4.111516,0.310444,0.926491,1.382822,0.000000,6.270601
0.020000,1.696206,4.111282,0.329250,0.954147,1.382822,-0.000000,6.270832
0.020000,1.715564,4.111046,0.348610,0.981804,1.382822,-0.000000,6.271188
0.020000,1.735475,4.110811,0.368522,1.009460,1.382822,0.000000,6.271681
0.020000,1.755940,4.110582,0.388988,1.037117,1.382822,-0.000000,6.272321
0.020000,1.776957,4.110362,0.410007,1.064773,1.382822,0.000000,6.273120
0.020000,1.798528,4.110155,0.431579,1.092430,1.382822,0.000000,6.274088
0.020000,1.820653,4.109966,0.453704,1.120086,1.382822,0.000000,6.275238
0.020000,1.843330,4.109801,0.476382,1.147743,1.382822,0.000000,6.276581
0.020000,1.866561,4.109665,0.499614,1.175399,1.382822,0.000000,6.278129
0.020000,1.890346,4.109566,0.523398,1.203056,1.382822,0.000000,6.279896
0.020000,1.914683,4.109509,0.547736,1.230712,1.382822,0.000000,6.281895
0.020000,1.939574,4.109505,0.572627,1.258368,1.382822,-0.000000,0.000953
0.020000,1.965018,4.109560,0.598071,1.286025,1.382822,0.000000,0.003454
0.020000,1.991015,4.109686,0.624068,1.313681,1.382822,-0.000000,0.006228
0.020000,2.017564,4.109891,0.650618,1.341338,1.382822,0.000000,0.009288
0.020000,2.044666,4.110188,0.677721,1.368994,1.382822,0.000000,0.012650
0.020000,2.072319,4.110588,0.705378,1.396651,1.382822,0.000000,0.016328
0.020000,2.100524,4.111105,0.733587,1.424307,1.382822,0.000000,0.020338
0.020000,2.129280,4.111752,0.762350,1.451964,1.382822,0.000000,0.024695
0.020000,2.158585,4.112544,0.791666,1.479620,1.382822,0.000000,0.029415
0.020000,2.188438,4.113498,0.821535,1.507276,1.382822,0.000000,0.034514
0.020000,2.218839,4.114630,0.851957,1.534933,1.382822,0.000000,0.040008
0.020000,2.249786,4.115960,0.882932,1.562589,1.382822,0.000000,0.045913
0.020000,2.281276,4.117506,0.914460,1.590246,1.382822,0.000000,0.052247
0.020000,2.313308,4.119289,0.946542,1.617902,1.382822,0.000000,0.059026
0.020000,2.345879,4.121331,0.979177,1.645559,1.382822,0.000000,0.066265
0.020000,2.378985,4.123655,1.012364,1.673215,1.382822,0.000000,0.073982
0.020000,2.412623,4.126286,1.046105,1.700872,1.382822,0.000000,0.082193
0.020000,2.446789,4.129250,1.080399,1.728528,1.382822,-0.000000,0.090912
0.020000,2.481477,4.132573,1.115246,1.756184,1.382822,0.000000,0.100157
0.020000,2.516682,4.136284,1.150647,1.783841,1.382822,-0.000000,0.109940
0.020000,2.552397,4.140412,1.186600,1.811497,1.382822,0.000000,0.120277
0.020000,2.588616,4.144988,1.223106,1.839154,1.382822,-0.000000,0.131179
0.020000,2.625329,4.150045,1.260166,1.866810,1.382822,0.000000,0.142658
0.020000,2.662526,4.155616,1.297779,1.894467,1.382822,-0.000000,0.154724
0.020000,2.700198,4.161735,1.335945,1.922123,1.382822,0.000000,0.167386
0.020000,2.738332,4.168437,1.374664,1.949780,1.382822,-0.000000,0.180648
0.020000,2.776916,4.175760,1.413936,1.977436,1.382822,0.000000,0.194516
0.020000,2.815933,4.183739,1.453761,2.005093,1.382822,-0.000000,0.208990
0.020000,2.855368,4.192412,1.494140,2.032749,1.382822,0.000000,0.224069
0.020000,2.895204,4.201819,1.535071,2.060405,1.382822,0.000000,0.239748
0.020000,2.934478,4.211306,1.576556,2.088062,1.382822,-0.000000,0.232921
0.020000,2.975418,4.220849,1.618594,2.115718,1.382822,0.000000,0.225278
0.020000,3.016964,4.230225,1.661185,2.143375,1.382822,-0.000000,0.218852
0.020000,3.059104,4.239478,1.704329,2.171031,1.382822,0.000000,0.213693
0.020000,3.101826,4.248658,1.748026,2.198688,1.382822,0.000000,0.209849
0.020000,3.145118,4.257817,1.792276,2.226344,1.382822,0.000000,0.207371
0.020000,3.188968,4.267013,1.837080,2.254001,1.382822,-0.000000,0.206311
0.020000,3.233362,4.276308,1.882436,2.281657,1.382822,0.000000,0.206721
0.020000,3.278286,4.285769,1.928346,2.309313,1.382822,0.000000,0.208657
0.020000,3.323725,4.295467,1.974809,2.336970,1.382822,0.000000,0.212176
0.020000,3.369663,4.305481,2.021825,2.364626,1.382822,-0.000000,0.217336
0.020000,3.416078,4.315891,2.069394,2.392283,1.382822,0.000000,0.224197
0.020000,3.462951,4.326785,2.117516,2.419939,1.382822,0.000000,0.232821
0.020000,3.510255,4.338256,2.166191,2.447596,1.382822,-0.000000,0.243269
0.020000,3.557962,4.350401,2.215420,2.475252,1.382822,0.000000,0.255601
0.020000,3.606037,4.363323,2.265201,2.502909,1.382822,0.000000,0.269873
0.020000,3.654440,4.377130,2.315536,2.530565,1.382822,0.000000,0.286136
0.020000,3.703127,4.391931,2.366424,2.558222,1.382822,0.000000,0.304432
0.020000,3.752045,4.407841,2.417865,2.585878,1.382822,-0.000000,0.324792
