dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.368551,3.758655,0.000138,0.013828,0.691411,34.570561,0.000127
0.020000,1.368533,3.758655,0.000156,0.000897,-0.646576,-66.899345,0.000077
0.020000,1.368761,3.758655,0.000384,0.011368,0.523583,58.507932,6.283161
0.020000,1.370367,3.758655,0.001990,0.080300,3.446603,146.151003,6.283011
0.020000,1.372509,3.758654,0.004131,0.107092,1.339580,-105.351133,6.282813
0.020000,1.375187,3.758653,0.006810,0.133905,1.340642,0.053073,6.282566
0.020000,1.378402,3.758650,0.010024,0.160744,1.341970,0.066421,6.282274
0.020000,1.382154,3.758646,0.013777,0.187616,1.343562,0.079609,6.281938
0.020000,1.386444,3.758640,0.018067,0.214524,1.345419,0.092836,6.281560
0.020000,1.391274,3.758631,0.022897,0.241475,1.347538,0.105919,6.281141
0.020000,1.396643,3.758619,0.028266,0.268473,1.349931,0.119694,6.280686
0.020000,1.402554,3.758603,0.034177,0.295525,1.352576,0.132207,6.280197
0.020000,1.409006,3.758582,0.040629,0.322635,1.355492,0.145816,6.279677
0.020000,1.416003,3.758556,0.047626,0.349808,1.358672,0.158989,6.279130
0.020000,1.423544,3.758523,0.055167,0.377050,1.362111,0.171957,6.278560
0.020000,1.431631,3.758483,0.063254,0.404367,1.365813,0.185087,6.277971
0.020000,1.440266,3.758435,0.071889,0.431762,1.369785,0.198629,6.277367
0.020000,1.449451,3.758379,0.081074,0.459242,1.374007,0.211110,6.276753
0.020000,1.459187,3.758313,0.090810,0.486812,1.378501,0.224685,6.276134
0.020000,1.469476,3.758238,0.101100,0.514477,1.383252,0.237554,6.275515
0.020000,1.480320,3.758151,0.111945,0.542243,1.388267,0.250723,6.274903
0.020000,1.491722,3.758053,0.123347,0.570114,1.393539,0.263600,6.274303
0.020000,1.503684,3.757943,0.135309,0.598095,1.399076,0.276851,6.273721
0.020000,1.516207,3.757821,0.147833,0.626192,1.404870,0.289733,6.273164
0.020000,1.529294,3.757687,0.160921,0.654411,1.410929,0.302956,6.272638
0.020000,1.542949,3.757539,0.174576,0.682756,1.417245,0.315809,6.272151
0.020000,1.557172,3.757379,0.188801,0.711232,1.423826,0.329001,6.271711
0.020000,1.571968,3.757206,0.203598,0.739846,1.430669,0.342150,6.271324
0.020000,1.587339,3.757021,0.218970,0.768601,1.437772,0.355153,6.270999
0.020000,1.603288,3.756825,0.234920,0.797504,1.445140,0.368423,6.270744
0.020000,1.619818,3.756618,0.251451,0.826560,1.452772,0.381574,6.270568
0.020000,1.636932,3.756401,0.268566,0.855773,1.460670,0.394939,6.270479
0.020000,1.654634,3.756176,0.286269,0.885150,1.468835,0.408256,6.270487
0.020000,1.672926,3.755944,0.304563,0.914695,1.477270,0.421727,6.270601
0.020000,1.691813,3.755709,0.323451,0.944415,1.485976,0.435305,6.270832
0.020000,1.711298,3.755471,0.342938,0.974314,1.494954,0.448881,6.271188
0.020000,1.731384,3.755235,0.363026,1.004398,1.504210,0.462819,6.271681
0.020000,1.752077,3.755003,0.383719,1.034673,1.513745,0.476723,6.272321
0.020000,1.773378,3.754780,0.405022,1.065144,1.523554,0.490495,6.273120
0.020000,1.795294,3.754570,0.426938,1.095817,1.533658,0.505163,6.274088
0.020000,1.817827,3.754378,0.449472,1.126698,1.544043,0.519259,6.275238
0.020000,1.840982,3.754209,0.472628,1.157792,1.554714,0.533551,6.276581
0.020000,1.864764,3.754070,0.496410,1.189106,1.565685,0.548553,6.278129
0.020000,1.889176,3.753968,0.520823,1.220645,1.576943,0.562895,6.279896
0.020000,1.914225,3.753910,0.545871,1.252415,1.588506,0.578178,6.281895
0.020000,1.939913,3.753905,0.571560,1.284422,1.600354,0.592379,0.000953
0.020000,1.966246,3.753963,0.597893,1.316672,1.612515,0.608060,0.003454
0.020000,1.993229,3.754093,0.624877,1.349171,1.624952,0.621847,0.006228
0.020000,2.020867,3.754307,0.652515,1.381925,1.637692,0.637000,0.009288
0.020000,2.049164,3.754617,0.680814,1.414939,1.650722,0.651472,0.012650
0.020000,2.078126,3.755036,0.709778,1.448220,1.664020,0.664896,0.016328
0.020000,2.107756,3.755578,0.739414,1.481772,1.677588,0.678415,0.020338
0.020000,2.138060,3.756260,0.769726,1.515600,1.691417,0.691456,0.024695
0.020000,2.169043,3.757098,0.800720,1.549709,1.705461,0.702214,0.029415
0.020000,2.200709,3.758110,0.832402,1.584104,1.719725,0.713184,0.034514
0.020000,2.233062,3.759315,0.864778,1.618787,1.734155,0.721517,0.040008
0.020000,2.266107,3.760735,0.897853,1.653761,1.748727,0.728607,0.045913
0.020000,2.299847,3.762391,0.931634,1.689029,1.763380,0.732645,0.052247
0.020000,2.334286,3.764308,0.966125,1.724590,1.778070,0.734499,0.059026
0.020000,2.369426,3.766512,1.001334,1.760445,1.792718,0.732376,0.066265
0.020000,2.405269,3.769028,1.037266,1.796590,1.807250,0.726589,0.073982
0.020000,2.441818,3.771887,1.073927,1.833021,1.821568,0.715944,0.082193
0.020000,2.479073,3.775118,1.111321,1.869732,1.835565,0.699807,0.090912
0.020000,2.517033,3.778755,1.149456,1.906715,1.849126,0.678079,0.100157
0.020000,2.555698,3.782830,1.188335,1.943956,1.862080,0.647682,0.109940
0.020000,2.595065,3.787381,1.227964,1.981442,1.874292,0.610613,0.120277
0.020000,2.635129,3.792443,1.268347,2.019155,1.885611,0.565938,0.131179
0.020000,2.675886,3.798058,1.309488,2.057070,1.895762,0.507550,0.142658
0.020000,2.717327,3.804264,1.351391,2.095162,1.904618,0.442807,0.154724
0.020000,2.759443,3.811105,1.394059,2.133399,1.911858,0.361996,0.167386
0.020000,2.802222,3.818624,1.437494,2.171746,1.917350,0.274603,0.180648
0.020000,2.845650,3.826866,1.481697,2.210161,1.920742,0.169584,0.194516
0.020000,2.889710,3.835876,1.526669,2.248596,1.921770,0.051418,0.208990
0.020000,2.934382,3.845702,1.572409,2.287002,1.920266,-0.075195,0.224069
0.020000,2.979644,3.856389,1.618916,2.325319,1.915862,-0.220222,0.239748
0.020000,3.016557,3.865309,1.656891,1.898785,-21.326702,-1162.128187,0.232921
0.020000,3.054851,3.874234,1.696211,1.965997,3.360598,1234.364993,0.225278
0.020000,3.094168,3.883107,1.736517,2.015294,2.464868,-44.786508,0.218852
0.020000,3.134516,3.891966,1.777827,2.065465,2.508522,2.182715,0.213693
0.020000,3.175902,3.900859,1.820157,2.116515,2.552509,2.199373,0.209849
0.020000,3.218332,3.909836,1.863526,2.168460,2.597229,2.235962,0.207371
0.020000,3.261813,3.918954,1.907952,2.221320,2.643049,2.291005,0.206311
0.020000,3.306349,3.928279,1.953455,2.275126,2.690276,2.361349,0.206721
0.020000,3.351947,3.937882,2.000053,2.329908,2.739116,2.442012,0.208657
0.020000,3.398610,3.947842,2.047767,2.385702,2.789660,2.527228,0.212176
0.020000,3.446340,3.958246,2.096618,2.442538,2.841833,2.608624,0.217336
0.020000,3.495137,3.969190,2.146627,2.500445,2.895360,2.676373,0.224197
0.020000,3.544996,3.980779,2.197816,2.559440,2.949712,2.717599,0.232821
0.020000,3.595911,3.993126,2.250206,2.619521,3.004046,2.716660,0.243269
0.020000,3.647867,4.006354,2.303819,2.680664,3.057152,2.655316,0.255601
0.020000,3.700843,4.020594,2.358676,2.742811,3.107381,2.511438,0.269873
0.020000,3.754807,4.035988,2.414793,2.805863,3.152594,2.260649,0.286136
0.020000,3.809719,4.052682,2.472186,2.869665,3.190118,1.876208,0.304432
0.020000,3.865521,4.070833,2.530866,2.934000,3.216734,1.330833,0.324792
0.020000,3.922142,4.090600,2.590838,2.998575,3.228762,0.601364,0.347229
0.020000,3.979489,4.112143,2.652098,3.063017,3.222076,-0.334304,0.371736
0.020000,4.037451,4.135623,2.714635,3.126865,3.192394,-1.484076,0.398279
0.020000,4.093227,4.159968,2.775493,3.042890,-4.198747,-369.557072,0.421026
0.020000,4.138263,4.179742,2.824679,2.459296,-29.179678,-1249.046540,0.406908
0.020000,4.184892,4.199504,2.875322,2.532163,3.643341,1641.150941,0.395332
0.020000,4.233095,4.219353,2.927453,2.606516,3.717655,3.715714,0.386383
0.020000,4.282854,4.239402,2.981098,2.682291,3.788761,3.555318,0.380140
0.020000,4.334144,4.259779,3.036288,2.759477,3.859293,3.526560,0.376682
0.020000,4.386938,4.280629,3.093050,2.838104,3.931319,3.601308,0.376091
0.020000,4.441203,4.302117,3.151415,2.918227,4.006179,3.743039,0.378451
0.020000,4.496901,4.324422,3.211413,2.999913,4.084300,3.906020,0.383849
0.020000,4.553985,4.347744,3.273077,3.083213,4.164984,4.034201,0.392378
0.020000,4.612395,4.372302,3.336440,3.168136,4.246160,4.058795,0.404128
0.020000,4.672056,4.398333,3.401532,3.254619,4.324125,3.898274,0.419187
0.020000,4.732871,4.426089,3.468382,3.342484,4.393254,3.456413,0.437634
0.020000,4.794716,4.455837,3.537010,3.431400,4.445796,2.627139,0.459527
0.020000,4.857434,4.487852,3.607427,3.520836,4.471808,1.300578,0.484896
0.020000,4.920828,4.522409,3.679627,3.610023,4.459384,-0.621187,0.513728
0.020000,4.965652,4.547063,3.730784,2.557846,-52.608871,-2853.412757,0.486130
0.020000,5.011839,4.570525,3.782589,2.590240,1.619684,2711.427727,0.454494
0.020000,5.060189,4.593278,3.836024,2.671778,4.076895,122.860560,0.425888
0.020000,5.110691,4.615399,3.891159,2.756719,4.247066,8.508572,0.400502
0.020000,5.163323,4.636981,3.948044,2.844261,4.377105,6.501945,0.378484
0.020000,5.218051,4.658138,4.006720,2.933786,4.476255,4.957496,0.359944
0.020000,5.274661,4.678939,4.067030,3.015517,4.086528,-19.486369,0.345012
0.020000,5.332664,4.699397,4.128535,3.075280,2.988173,-54.917726,0.333794
0.020000,5.391650,4.719583,4.190880,3.117215,2.096732,-44.572064,0.326279
0.020000,5.451442,4.739665,4.253953,3.153678,1.823172,-13.677969,0.322369
0.020000,5.511933,4.759837,4.317720,3.188329,1.732552,-4.531012,0.321964
0.020000,5.573025,4.780299,4.382147,3.221360,1.651557,-4.049756,0.324972
0.020000,5.634618,4.801250,4.447206,3.252954,1.579663,-3.594702,0.331313
0.020000,5.696615,4.822891,4.512871,3.283249,1.514762,-3.245071,0.340914
0.020000,5.758911,4.845424,4.579118,3.312319,1.453507,-3.062750,0.353705
0.020000,5.821399,4.869045,4.645920,3.340145,1.391293,-3.110665,0.369618
0.020000,5.883956,4.893949,4.713252,3.366599,1.322731,-3.428142,0.388575
0.020000,5.946449,4.920319,4.781081,3.391431,1.241591,-4.056976,0.410485
0.020000,6.008725,4.948327,4.849366,3.414258,1.141335,-5.012818,0.435236
0.020000,6.070615,4.978129,4.918058,3.434567,1.015453,-6.294066,0.462685
0.020000,6.131929,5.009853,4.987092,3.451733,0.858306,-7.857384,0.492657
0.020000,6.192457,5.043601,5.056393,3.465041,0.665413,-9.644630,0.524934
0.020000,6.251977,5.079436,5.125868,3.473744,0.435106,-11.515337,0.559256
0.020000,6.310254,5.117381,5.195410,3.477102,0.167911,-13.359772,0.595325
0.020000,6.360967,5.152919,5.257335,3.096237,-19.043227,-960.556883,0.614649
0.020000,6.391047,5.172868,5.293428,1.804680,-64.577879,-2276.732594,0.559768
0.020000,6.425424,5.193348,5.333444,2.000787,9.805373,3719.162602,0.517468
