dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.327582,5.616755,0.000138,0.013827,0.691339,34.566956,0.032379
0.020000,1.327599,5.616755,0.000155,0.000841,-0.649288,-67.031365,0.032332
0.020000,1.327632,5.616756,0.000189,0.001681,0.041995,34.564157,0.032237
0.020000,1.328241,5.616776,0.000798,0.030442,1.438060,69.803258,0.032096
0.020000,1.330519,5.616849,0.003077,0.113967,4.176249,136.909423,0.031907
0.020000,1.333366,5.616939,0.005926,0.142451,1.424174,-137.603711,0.031672
0.020000,1.336783,5.617047,0.009344,0.170928,1.423890,-0.014239,0.031390
0.020000,1.340769,5.617172,0.013332,0.199400,1.423561,-0.016418,0.031063
0.020000,1.345324,5.617312,0.017890,0.227863,1.423157,-0.020231,0.030689
0.020000,1.350448,5.617468,0.023016,0.256317,1.422725,-0.021577,0.030271
0.020000,1.356141,5.617639,0.028711,0.284761,1.422211,-0.025701,0.029809
0.020000,1.362402,5.617825,0.034975,0.313195,1.421654,-0.027848,0.029302
0.020000,1.369232,5.618023,0.041807,0.341615,1.421036,-0.030901,0.028753
0.020000,1.376629,5.618233,0.049208,0.370023,1.420375,-0.033075,0.028160
0.020000,1.384594,5.618455,0.057176,0.398415,1.419632,-0.037133,0.027527
0.020000,1.393127,5.618687,0.065712,0.426793,1.418857,-0.038743,0.026853
0.020000,1.402227,5.618928,0.074815,0.455153,1.418013,-0.042212,0.026139
0.020000,1.411894,5.619178,0.084485,0.483495,1.417119,-0.044671,0.025386
0.020000,1.422127,5.619433,0.094721,0.511818,1.416158,-0.048064,0.024595
0.020000,1.432926,5.619695,0.105524,0.540121,1.415149,-0.050442,0.023768
0.020000,1.444291,5.619960,0.116892,0.568403,1.414081,-0.053434,0.022906
0.020000,1.456221,5.620228,0.128825,0.596662,1.412959,-0.056071,0.022010
0.020000,1.468716,5.620497,0.141323,0.624898,1.411777,-0.059095,0.021081
0.020000,1.481776,5.620766,0.154385,0.653108,1.410536,-0.062071,0.020120
0.020000,1.495399,5.621033,0.168011,0.681293,1.409243,-0.064658,0.019130
