dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.339094,5.261341,0.000138,0.013827,0.691339,34.566956,0.032379
0.020000,1.339094,5.261341,0.000691,0.041480,1.382678,34.566956,0.032332
0.020000,1.339094,5.261341,0.001797,0.069134,1.382678,0.000000,0.032237
0.020000,1.339652,5.261359,0.003457,0.096787,1.382678,-0.000000,0.032096
0.020000,1.341863,5.261430,0.005669,0.124441,1.382678,0.000000,0.031907
0.020000,1.344627,5.261518,0.008434,0.152095,1.382678,-0.000000,0.031672
0.020000,1.347944,5.261622,0.011753,0.179748,1.382678,0.000000,0.031390
0.020000,1.351813,5.261743,0.015624,0.207402,1.382678,-0.000000,0.031063
0.020000,1.356236,5.261880,0.020049,0.235055,1.382678,0.000000,0.030689
0.020000,1.361211,5.262031,0.025026,0.262709,1.382678,0.000000,0.030271
0.020000,1.366739,5.262197,0.030557,0.290362,1.382678,0.000000,0.029809
0.020000,1.372821,5.262377,0.036641,0.318016,1.382678,0.000000,0.029302
0.020000,1.379455,5.262570,0.043278,0.345670,1.382678,-0.000000,0.028753
0.020000,1.386642,5.262774,0.050468,0.373323,1.382678,0.000000,0.028160
0.020000,1.394382,5.262990,0.058211,0.400977,1.382678,0.000000,0.027527
0.020000,1.402675,5.263216,0.066507,0.428630,1.382678,-0.000000,0.026853
0.020000,1.411521,5.263450,0.075356,0.456284,1.382678,0.000000,0.026139
0.020000,1.420920,5.263692,0.084758,0.483937,1.382678,0.000000,0.025386
0.020000,1.430872,5.263941,0.094713,0.511591,1.382678,-0.000000,0.024595
0.020000,1.441377,5.264195,0.105222,0.539245,1.382678,0.000000,0.023768
0.020000,1.452436,5.264453,0.116283,0.566898,1.382678,-0.000000,0.022906
0.020000,1.464047,5.264714,0.127898,0.594552,1.382678,0.000000,0.022010
0.020000,1.476212,5.264976,0.140065,0.622205,1.382678,0.000000,0.021081
0.020000,1.488930,5.265238,0.152786,0.649859,1.382678,0.000000,0.020120
0.020000,1.502201,5.265499,0.166060,0.677512,1.382678,-0.000000,0.019130
0.020000,1.516025,5.265756,0.179886,0.705166,1.382678,0.000000,0.018111
0.020000,1.530403,5.266009,0.194266,0.732819,1.382678,0.000000,0.017066
0.020000,1.545334,5.266256,0.209199,0.760473,1.382678,-0.000000,0.015995
0.020000,1.560818,5.266495,0.224685,0.788127,1.382678,0.000000,0.014901
0.020000,1.576855,5.266725,0.240724,0.815780,1.382678,0.000000,0.013786
0.020000,1.593446,5.266944,0.257316,0.843434,1.382678,-0.000000,0.012650
0.020000,1.610590,5.267151,0.274462,0.871087,1.382678,0.000000,0.011497
0.020000,1.628287,5.267344,0.292160,0.898741,1.382678,-0.000000,0.010328
0.020000,1.646538,5.267522,0.310411,0.926394,1.382678,0.000000,0.009145
0.020000,1.665342,5.267683,0.329216,0.954048,1.382678,-0.000000,0.007950
0.020000,1.684699,5.267825,0.348573,0.981702,1.382678,0.000000,0.006745
0.020000,1.704609,5.267947,0.368484,1.009355,1.382678,-0.000000,0.005533
0.020000,1.725072,5.268048,0.388947,1.037009,1.382678,0.000000,0.004316
0.020000,1.746089,5.268125,0.409964,1.064662,1.382678,-0.000000,0.003097
0.020000,1.767658,5.268179,0.431534,1.092316,1.382678,0.000000,0.001876
0.020000,1.789781,5.268207,0.453657,1.119969,1.382678,0.000000,0.000658
0.020000,1.812457,5.268208,0.476333,1.147623,1.382678,0.000000,6.282630
0.020000,1.835686,5.268181,0.499562,1.175277,1.382678,-0.000000,6.281424
0.020000,1.859468,5.268125,0.523344,1.202930,1.382678,0.000000,6.280228
0.020000,1.883803,5.268039,0.547679,1.230584,1.382678,-0.000000,6.279045
0.020000,1.908691,5.267921,0.572567,1.258237,1.382678,0.000000,6.277877
0.020000,1.934132,5.267771,0.598008,1.285891,1.382678,0.000000,6.276728
0.020000,1.960126,5.267589,0.624003,1.313544,1.382678,0.000000,6.275599
0.020000,1.986672,5.267372,0.650550,1.341198,1.382678,-0.000000,6.274495
0.020000,2.013771,5.267122,0.677651,1.368851,1.382678,0.000000,6.273419
0.020000,2.041424,5.266837,0.705304,1.396505,1.382678,-0.000000,6.272372
0.020000,2.069628,5.266518,0.733511,1.424159,1.382678,0.000000,6.271359
0.020000,2.098386,5.266164,0.762271,1.451812,1.382678,0.000000,6.270383
0.020000,2.127696,5.265775,0.791583,1.479466,1.382678,0.000000,6.269447
0.020000,2.157559,5.265351,0.821449,1.507119,1.382678,-0.000000,6.268555
0.020000,2.187974,5.264893,0.851868,1.534773,1.382678,0.000000,6.267709
0.020000,2.218943,5.264401,0.882840,1.562426,1.382678,-0.000000,6.266914
0.020000,2.250463,5.263876,0.914365,1.590080,1.382678,0.000000,6.266172
0.020000,2.282537,5.263319,0.946443,1.617734,1.382678,0.000000,6.265488
0.020000,2.315162,5.262732,0.979074,1.645387,1.382678,0.000000,6.264866
0.020000,2.348341,5.262114,1.012259,1.673041,1.382678,-0.000000,6.264308
0.020000,2.382072,5.261469,1.045996,1.700694,1.382678,0.000000,6.263818
0.020000,2.416356,5.260798,1.080287,1.728348,1.382678,0.000000,6.263402
0.020000,2.451193,5.260102,1.115130,1.756001,1.382678,0.000000,6.263061
0.020000,2.486582,5.259385,1.150527,1.783655,1.382678,-0.000000,6.262801
0.020000,2.522524,5.258649,1.186476,1.811308,1.382678,-0.000000,6.262626
0.020000,2.559019,5.257896,1.222979,1.838962,1.382678,0.000000,6.262539
0.020000,2.596067,5.257131,1.260035,1.866616,1.382678,0.000000,6.262545
0.020000,2.633668,5.256357,1.297644,1.894269,1.382678,-0.000000,6.262648
0.020000,2.671822,5.255577,1.335805,1.921923,1.382678,0.000000,6.262852
0.020000,2.710529,5.254795,1.374520,1.949576,1.382678,-0.000000,6.263162
0.020000,2.749789,5.254017,1.413788,1.977230,1.382678,0.000000,6.263583
0.020000,2.789603,5.253247,1.453610,2.004883,1.382678,-0.000000,6.264117
0.020000,2.829970,5.252490,1.493984,2.032537,1.382678,0.000000,6.264771
0.020000,2.870890,5.251752,1.534911,2.060191,1.382678,0.000000,6.265549
0.020000,2.912365,5.251038,1.576391,2.087844,1.382678,0.000000,6.266456
0.020000,2.954393,5.250357,1.618425,2.115498,1.382678,-0.000000,6.267496
0.020000,2.996974,5.249713,1.661011,2.143151,1.382678,0.000000,6.268674
0.020000,3.040110,5.249115,1.704151,2.170805,1.382678,0.000000,6.269995
0.020000,3.083799,5.248571,1.747844,2.198458,1.382678,0.000000,6.271464
0.020000,3.128042,5.248087,1.792089,2.226112,1.382678,-0.000000,6.273087
0.020000,3.172839,5.247674,1.836888,2.253766,1.382678,0.000000,6.274867
0.020000,3.218189,5.247341,1.882240,2.281419,1.382678,0.000000,6.276812
0.020000,3.264094,5.247096,1.928145,2.309073,1.382678,0.000000,6.278924
0.020000,3.310551,5.246951,1.974603,2.336726,1.382678,-0.000000,6.281211
0.020000,3.357562,5.246915,2.021614,2.364380,1.382678,0.000000,0.000491
0.020000,3.405126,5.247001,2.069178,2.392033,1.382678,0.000000,0.003141
0.020000,3.453243,5.247220,2.117295,2.419687,1.382678,0.000000,0.005982
0.020000,3.501912,5.247584,2.165965,2.447340,1.382678,-0.000000,0.009017
0.020000,3.551133,5.248107,2.215189,2.474994,1.382678,0.000000,0.012254
0.020000,3.600904,5.248802,2.264965,2.502648,1.382678,0.000000,0.015697
0.020000,3.651226,5.249683,2.315295,2.530301,1.382678,0.000000,0.019352
0.020000,3.702097,5.250765,2.366177,2.557955,1.382678,-0.000000,0.023225
0.020000,3.753516,5.252064,2.417613,2.585608,1.382678,0.000000,0.027320
0.020000,3.805482,5.253596,2.469602,2.613262,1.382678,0.000000,0.031644
0.020000,3.857994,5.255377,2.522143,2.640915,1.382678,0.000000,0.036202
0.020000,3.911049,5.257425,2.575238,2.668569,1.382678,-0.000000,0.041000
0.020000,3.964646,5.259759,2.628886,2.696223,1.382678,0.000000,0.046042
0.020000,4.018783,5.262396,2.683087,2.723876,1.382678,0.000000,0.051334
0.020000,4.073457,5.265356,2.737841,2.751530,1.382678,0.000000,0.056882
0.020000,4.128665,5.268660,2.793148,2.779183,1.382678,-0.000000,0.062689
0.020000,4.184405,5.272327,2.849009,2.806837,1.382678,0.000000,0.068762
0.020000,4.239109,5.276261,2.905422,2.834490,1.382678,0.000000,0.073448
0.020000,4.295962,5.279828,2.962388,2.862144,1.382678,-0.000000,0.052321
0.020000,4.353428,5.282290,3.019908,2.889798,1.382678,0.000000,0.033774
0.020000,4.411481,5.283776,3.077980,2.917451,1.382678,-0.000000,0.017876
0.020000,4.470102,5.284423,3.136606,2.945105,1.382678,0.000000,0.004685
0.020000,4.529281,5.284378,3.195784,2.972758,1.382678,0.000000,6.277441
0.020000,4.589009,5.283793,3.255516,3.000412,1.382678,-0.000000,6.269826
0.020000,4.649286,5.282830,3.315801,3.028065,1.382678,0.000000,6.265084
0.020000,4.710113,5.281658,3.376639,3.055719,1.382678,0.000000,6.263279
0.020000,4.771492,5.280458,3.438029,3.083372,1.382678,0.000000,6.264487
0.020000,4.833427,5.279417,3.499973,3.111026,1.382678,-0.000000,6.268795
0.020000,4.895921,5.278736,3.562470,3.138680,1.382678,0.000000,6.276300
0.020000,4.958970,5.278625,3.625521,3.166333,1.382678,0.000000,0.003929
0.020000,5.022569,5.279310,3.689124,3.193987,1.382678,-0.000000,0.018171
0.020000,5.086702,5.281028,3.753280,3.221640,1.382678,0.000000,0.035963
0.020000,5.151340,5.284029,3.817989,3.249294,1.382678,-0.000000,0.057423
0.020000,5.216442,5.288577,3.883252,3.276947,1.382678,0.000000,0.082653
0.020000,5.281947,5.294943,3.949067,3.304601,1.382678,0.000000,0.111724
0.020000,5.347770,5.303408,4.015436,3.332255,1.382678,-0.000000,0.144659
0.020000,5.413603,5.314214,4.082153,3.339458,0.360168,-51.125523,0.181291
0.020000,5.478843,5.327503,4.148738,3.319008,-1.022510,-69.133912,0.221147
0.020000,5.543013,5.343355,4.214841,3.291354,-1.382678,-18.008389,0.263654
0.020000,5.605900,5.361832,4.280392,3.263701,-1.382678,-0.000000,0.308289
0.020000,5.667358,5.382970,4.345389,3.236047,-1.382678,0.000000,0.354500
0.020000,5.727247,5.406752,4.409834,3.208393,-1.382678,0.000000,0.401692
0.020000,5.785438,5.433118,4.473725,3.180740,-1.382678,0.000000,0.449257
0.020000,5.841287,5.459740,4.537063,3.153086,-1.382678,-0.000000,0.429527
0.020000,5.898744,5.485045,4.599848,3.125433,-1.382678,0.000000,0.401221
0.020000,5.956308,5.508690,4.662081,3.097779,-1.382678,0.000000,0.379240
