dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.350606,4.905927,0.000138,0.013827,0.691339,34.566956,0.032379
0.020000,1.350589,4.905927,0.000155,0.000841,-0.649288,-67.031365,0.032332
0.020000,1.350555,4.905926,0.000189,0.001681,0.041995,34.564157,0.032237
0.020000,1.351063,4.905942,0.000697,0.025405,1.186202,57.210359,0.032096
0.020000,1.353207,4.906011,0.002842,0.107261,4.092818,145.330781,0.031907
0.020000,1.355888,4.906096,0.005524,0.134085,1.341189,-137.581415,0.031672
0.020000,1.359104,4.906197,0.008742,0.160914,1.341464,0.013705,0.031390
0.020000,1.362857,4.906315,0.012497,0.187750,1.341805,0.017083,0.031063
0.020000,1.367147,4.906447,0.016789,0.214594,1.342184,0.018927,0.030689
0.020000,1.371974,4.906594,0.021618,0.241447,1.342646,0.023100,0.030271
0.020000,1.377338,4.906755,0.026984,0.268310,1.343139,0.024661,0.029809
0.020000,1.383239,4.906930,0.032888,0.295184,1.343701,0.028091,0.029302
0.020000,1.389678,4.907117,0.039329,0.322070,1.344314,0.030672,0.028753
0.020000,1.396654,4.907315,0.046309,0.348970,1.344996,0.034090,0.028160
0.020000,1.404169,4.907525,0.053826,0.375884,1.345711,0.035736,0.027527
0.020000,1.412222,4.907744,0.061883,0.402814,1.346505,0.039699,0.026853
0.020000,1.420814,4.907971,0.070478,0.429761,1.347343,0.041915,0.026139
0.020000,1.429946,4.908207,0.079612,0.456726,1.348245,0.045091,0.025386
0.020000,1.439617,4.908448,0.089286,0.483710,1.349193,0.047391,0.024595
0.020000,1.449828,4.908695,0.099501,0.510714,1.350206,0.050657,0.023768
0.020000,1.460580,4.908946,0.110256,0.537740,1.351273,0.053349,0.022906
0.020000,1.471873,4.909200,0.121551,0.564788,1.352400,0.056381,0.022010
0.020000,1.483708,4.909455,0.133388,0.591859,1.353581,0.059054,0.021081
0.020000,1.496084,4.909710,0.145768,0.618956,1.354817,0.061774,0.020120
0.020000,1.509003,4.909964,0.158689,0.646078,1.356114,0.064868,0.019130
0.020000,1.522465,4.910214,0.172154,0.673227,1.357465,0.067520,0.018111
0.020000,1.536471,4.910461,0.186162,0.700405,1.358877,0.070600,0.017066
0.020000,1.551022,4.910701,0.200714,0.727612,1.360343,0.073317,0.015995
0.020000,1.566117,4.910934,0.215811,0.754849,1.361865,0.076084,0.014901
0.020000,1.581757,4.911159,0.231453,0.782118,1.363444,0.078944,0.013786
0.020000,1.597944,4.911373,0.247642,0.809419,1.365085,0.082045,0.012650
0.020000,1.614678,4.911575,0.264377,0.836755,1.366777,0.084609,0.011497
0.020000,1.631960,4.911763,0.281659,0.864125,1.368528,0.087557,0.010328
0.020000,1.649790,4.911937,0.299490,0.891532,1.370337,0.090435,0.009145
0.020000,1.668168,4.912094,0.317869,0.918976,1.372202,0.093254,0.007950
0.020000,1.687097,4.912233,0.336799,0.946459,1.374123,0.096047,0.006745
0.020000,1.706576,4.912352,0.356278,0.973981,1.376101,0.098937,0.005533
0.020000,1.726607,4.912451,0.376309,1.001543,1.378136,0.101747,0.004316
0.020000,1.747190,4.912527,0.396892,1.029148,1.380228,0.104564,0.003097
0.020000,1.768326,4.912580,0.418028,1.056796,1.382376,0.107414,0.001876
0.020000,1.790015,4.912607,0.439718,1.084487,1.384579,0.110152,0.000658
0.020000,1.812260,4.912608,0.461962,1.112224,1.386840,0.113066,6.282630
0.020000,1.835060,4.912582,0.484762,1.140007,1.389156,0.115799,6.281424
0.020000,1.858417,4.912527,0.508119,1.167838,1.391529,0.118619,6.280228
0.020000,1.882331,4.912442,0.532033,1.195717,1.393958,0.121452,6.279045
0.020000,1.906803,4.912326,0.556506,1.223646,1.396439,0.124053,6.277877
0.020000,1.931836,4.912179,0.581539,1.251625,1.398981,0.127122,6.276728
0.020000,1.957428,4.911999,0.607132,1.279657,1.401575,0.129710,6.275599
0.020000,1.983582,4.911786,0.633287,1.307741,1.404226,0.132520,6.274495
0.020000,2.010298,4.911539,0.660004,1.335880,1.406933,0.135354,6.273419
0.020000,2.037579,4.911258,0.687286,1.364074,1.409692,0.137933,6.272372
0.020000,2.065423,4.910943,0.715132,1.392324,1.412511,0.140992,6.271359
0.020000,2.093834,4.910593,0.743545,1.420632,1.415381,0.143503,6.270383
0.020000,2.122811,4.910208,0.772525,1.448998,1.418308,0.146333,6.269447
0.020000,2.152357,4.909789,0.802073,1.477423,1.421291,0.149166,6.268555
0.020000,2.182471,4.909335,0.832192,1.505910,1.424331,0.151989,6.267709
0.020000,2.213157,4.908848,0.862881,1.534459,1.427420,0.154438,6.266914
0.020000,2.244414,4.908328,0.894142,1.563070,1.430572,0.157618,6.266172
0.020000,2.276244,4.907775,0.925977,1.591745,1.433776,0.160184,6.265488
0.020000,2.308648,4.907191,0.958387,1.620486,1.437037,0.163027,6.264866
0.020000,2.341628,4.906578,0.991373,1.649293,1.440351,0.165722,6.264308
0.020000,2.375186,4.905936,1.024936,1.678168,1.443726,0.168752,6.263818
0.020000,2.409321,4.905267,1.059078,1.707111,1.447152,0.171311,6.263402
0.020000,2.444037,4.904574,1.093801,1.736124,1.450640,0.174368,6.263061
0.020000,2.479334,4.903859,1.129105,1.765207,1.454182,0.177106,6.262801
0.020000,2.515214,4.903124,1.164992,1.794363,1.457781,0.179971,6.262626
0.020000,2.551678,4.902372,1.201464,1.823592,1.461439,0.182907,6.262539
0.020000,2.588728,4.901607,1.238522,1.852895,1.465154,0.185740,6.262545
0.020000,2.626365,4.900832,1.276167,1.882273,1.468928,0.188688,6.262648
0.020000,2.664592,4.900050,1.314402,1.911728,1.472760,0.191589,6.262852
0.020000,2.703409,4.899266,1.353227,1.941261,1.476651,0.194591,6.263162
0.020000,2.742819,4.898485,1.392645,1.970873,1.480600,0.197418,6.263583
0.020000,2.782823,4.897711,1.432656,2.000566,1.484611,0.200545,6.264117
0.020000,2.823422,4.896950,1.473263,2.030339,1.488678,0.203363,6.264771
0.020000,2.864619,4.896207,1.514467,2.060195,1.492806,0.206405,6.265549
0.020000,2.906416,4.895488,1.556269,2.090135,1.496993,0.209331,6.266456
0.020000,2.948814,4.894800,1.598673,2.120160,1.501242,0.212486,6.267496
0.020000,2.991814,4.894151,1.641678,2.150271,1.505544,0.215058,6.268674
0.020000,3.035419,4.893546,1.685287,2.180469,1.509909,0.218266,6.269995
0.020000,3.079631,4.892995,1.729502,2.210756,1.514331,0.221096,6.271464
0.020000,3.124451,4.892505,1.774325,2.241132,1.518808,0.223851,6.273087
0.020000,3.169881,4.892087,1.819757,2.271599,1.523339,0.226544,6.274867
0.020000,3.215923,4.891748,1.865800,2.302157,1.527928,0.229494,6.276812
0.020000,3.262578,4.891499,1.912456,2.332808,1.532563,0.231740,6.278924
0.020000,3.309849,4.891351,1.959727,2.363554,1.537251,0.234389,6.281211
0.020000,3.357737,4.891315,2.007615,2.394393,1.541984,0.236628,0.000491
0.020000,3.406244,4.891403,2.056122,2.425328,1.546759,0.238754,0.003141
0.020000,3.455370,4.891626,2.105249,2.456360,1.551572,0.240682,0.005982
0.020000,3.505119,4.891998,2.154999,2.487488,1.556418,0.242291,0.009017
0.020000,3.555490,4.892534,2.205373,2.518714,1.561292,0.243710,0.012254
0.020000,3.606486,4.893246,2.256374,2.550038,1.566187,0.244750,0.015697
0.020000,3.658107,4.894150,2.308003,2.581460,1.571097,0.245496,0.019352
0.020000,3.710355,4.895261,2.360263,2.612980,1.576004,0.245316,0.023225
